marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
ALPINE,A110,69650,2 génération ,Coupé,2020,23/03/2020,ESSENCE,13298,AUTOMATIQUE,47000,15,252,<50000km
ALPINE,A110,62790,2 génération ,Coupé,2020,23/03/2020,ESSENCE,3675,AUTOMATIQUE,59000,15,252,<5000km
ALPINE,A110,83180,2 génération ,Coupé,2019,13/04/2020,ESSENCE,35,AUTOMATIQUE,34000,15,252,<5000km
ALPINE,A110,74930,2 génération ,Coupé,2020,13/05/2020,ESSENCE,3450,AUTOMATIQUE,17000,15,252,<5000km
ALPINE,A110,69010,2 génération ,Coupé,2020,23/03/2020,ESSENCE,3282,AUTOMATIQUE,24000,15,252,<5000km
ALPINE,A310,44620,1 génération,Coupé,1979,23/03/2020,ESSENCE,101314,MANUEL,59000,14,150,<150000km
ALPINE,A110,69320,2 génération ,Coupé,2020,23/03/2020,ESSENCE,13440,AUTOMATIQUE,47000,15,252,<50000km
ALPINE,A110,69870,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2875,AUTOMATIQUE,60000,15,252,<5000km
ALPINE,A110,69280,2 génération ,Coupé,2020,23/03/2020,ESSENCE,55,AUTOMATIQUE,51000,15,252,<5000km
ALPINE,A310,37100,1 génération,Coupé,1984,23/03/2020,ESSENCE,96142,MANUEL,94000,14,150,<150000km
ALPINE,A110,84910,2 génération ,Coupé,2020,23/03/2020,ESSENCE,251,AUTOMATIQUE,75000,18,292,<5000km
ALPINE,A110,56380,1 génération,Coupé,1993,23/03/2020,ESSENCE,221762,MANUEL,33000,8,110,<250000km
ALPINE,A110,72800,2 génération ,Coupé,2019,23/03/2020,ESSENCE,6138,AUTOMATIQUE,65000,15,252,<50000km
ALPINE,A110,65100,2 génération ,Coupé,2020,23/03/2020,ESSENCE,6353,AUTOMATIQUE,69000,15,252,<50000km
ALPINE,A110,75610,2 génération ,Coupé,2020,23/03/2020,ESSENCE,1573,AUTOMATIQUE,45000,15,252,<5000km
ALPINE,A610,45120,1 génération,Coupé,1993,20/05/2020,ESSENCE,122960,MANUEL,59000,14,250,<150000km
ALPINE,A110,65770,2 génération ,Coupé,2019,02/04/2020,ESSENCE,12042,AUTOMATIQUE,44000,15,252,<50000km
ALPINE,A110,65880,2 génération ,Coupé,2020,21/04/2020,ESSENCE,10260,AUTOMATIQUE,59000,15,252,<50000km
ALPINE,A110,69190,2 génération ,Coupé,2020,23/03/2020,ESSENCE,6661,AUTOMATIQUE,26000,15,252,<50000km
ALPINE,A110,68200,2 génération ,Coupé,2020,22/05/2020,ESSENCE,8586,AUTOMATIQUE,26000,15,252,<50000km
ALPINE,A110,77680,2 génération ,Coupé,2020,23/03/2020,ESSENCE,555,AUTOMATIQUE,83000,15,252,<5000km
ALPINE,A110,163390,1 génération,Coupé,1973,13/04/2020,ESSENCE,80383,MANUEL,31000,8,110,<150000km
ALPINE,A110,76540,2 génération ,Coupé,2020,18/05/2020,ESSENCE,861,AUTOMATIQUE,69000,18,292,<5000km
ALPINE,A110,77670,2 génération ,Coupé,2020,23/03/2020,ESSENCE,10063,AUTOMATIQUE,10000,15,252,<50000km
ALPINE,A110,74240,2 génération ,Coupé,2020,23/03/2020,ESSENCE,116,AUTOMATIQUE,33000,15,252,<5000km
ALPINE,A110,81780,2 génération ,Coupé,2019,10/05/2020,ESSENCE,105,AUTOMATIQUE,75000,15,252,<5000km
ALPINE,A110,80400,2 génération ,Coupé,2019,23/03/2020,ESSENCE,586,AUTOMATIQUE,88000,15,252,<5000km
ALPINE,A110,73200,2 génération ,Coupé,2020,23/03/2020,ESSENCE,6803,AUTOMATIQUE,13000,15,252,<50000km
ALPINE,A110,72440,2 génération ,Coupé,2020,23/03/2020,ESSENCE,866,AUTOMATIQUE,69000,15,252,<5000km
ALPINE,A110,78590,2 génération ,Coupé,2019,23/03/2020,ESSENCE,20910,AUTOMATIQUE,35000,15,252,<50000km
ALPINE,A110,69940,2 génération ,Coupé,2019,23/03/2020,ESSENCE,9964,AUTOMATIQUE,21000,15,252,<50000km
ALPINE,A110,68140,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2940,AUTOMATIQUE,33000,15,252,<5000km
ALPINE,A110,87000,2 génération ,Coupé,2021,09/04/2020,ESSENCE,18,AUTOMATIQUE,67000,18,292,<5000km
ALPINE,A610,92650,1 génération,Coupé,1992,15/05/2020,ESSENCE,24438,MANUEL,81000,14,250,<50000km
ALPINE,A110,84050,2 génération ,Coupé,2020,23/03/2020,ESSENCE,312,AUTOMATIQUE,35000,15,252,<5000km
ALPINE,A110,62760,2 génération ,Coupé,2020,28/04/2020,ESSENCE,3734,AUTOMATIQUE,77000,15,252,<5000km
ALPINE,A110,96720,2 génération ,Coupé,2021,03/04/2020,ESSENCE,248,AUTOMATIQUE,13000,18,292,<5000km
ALPINE,A110,69960,2 génération ,Coupé,2020,14/05/2020,ESSENCE,5803,AUTOMATIQUE,33000,15,252,<50000km
ALPINE,A110,82020,2 génération ,Coupé,2020,23/03/2020,ESSENCE,6216,AUTOMATIQUE,33000,18,292,<50000km
ALPINE,A110,67300,2 génération ,Coupé,2019,23/03/2020,ESSENCE,5309,AUTOMATIQUE,87000,15,252,<50000km
ALPINE,A110,76540,2 génération ,Coupé,2020,23/03/2020,ESSENCE,4872,AUTOMATIQUE,32000,15,252,<5000km
ALPINE,A110,73670,2 génération ,Coupé,2020,07/05/2020,ESSENCE,6027,AUTOMATIQUE,69000,15,252,<50000km
ALPINE,A110,69190,2 génération ,Coupé,2020,23/03/2020,ESSENCE,5390,AUTOMATIQUE,49000,15,252,<50000km
ALPINE,A110,71960,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2360,AUTOMATIQUE,76000,15,252,<5000km
ALPINE,A110,85280,2 génération ,Coupé,2021,23/03/2020,ESSENCE,2797,AUTOMATIQUE,10000,15,252,<5000km
ALPINE,A110,76870,2 génération ,Coupé,2020,23/03/2020,ESSENCE,7000,AUTOMATIQUE,33000,15,252,<50000km
ALPINE,A110,77880,2 génération ,Coupé,2020,23/03/2020,ESSENCE,1560,AUTOMATIQUE,75000,15,252,<5000km
ALPINE,A110,70300,2 génération ,Coupé,2020,23/03/2020,ESSENCE,1888,AUTOMATIQUE,21000,15,252,<5000km
ALPINE,A110,77500,2 génération ,Coupé,2020,23/03/2020,ESSENCE,5270,AUTOMATIQUE,85000,15,252,<50000km
ALPINE,A110,95880,2 génération ,Coupé,2020,16/05/2020,ESSENCE,72,AUTOMATIQUE,25000,18,292,<5000km
ALPINE,A110,74400,2 génération ,Coupé,2019,23/03/2020,ESSENCE,10614,AUTOMATIQUE,35000,15,252,<50000km
ALPINE,A110,84570,2 génération ,Coupé,2019,23/03/2020,ESSENCE,1027,AUTOMATIQUE,35000,15,252,<5000km
ALPINE,A110,68840,2 génération ,Coupé,2020,20/05/2020,ESSENCE,7641,AUTOMATIQUE,81000,15,252,<50000km
ALPINE,A110,67540,2 génération ,Coupé,2019,06/05/2020,ESSENCE,15785,AUTOMATIQUE,78000,15,252,<50000km
ALPINE,A110,83750,2 génération ,Coupé,2019,23/03/2020,ESSENCE,4375,AUTOMATIQUE,95000,15,252,<5000km
ALPINE,A110,67410,2 génération ,Coupé,2020,23/03/2020,ESSENCE,10165,AUTOMATIQUE,75000,15,252,<50000km
ALPINE,A110,65190,2 génération ,Coupé,2020,23/03/2020,ESSENCE,7738,AUTOMATIQUE,13000,15,252,<50000km
ALPINE,A110,79230,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2358,AUTOMATIQUE,92000,15,252,<5000km
ALPINE,A110,73220,2 génération ,Coupé,2020,11/05/2020,ESSENCE,2599,AUTOMATIQUE,20000,15,252,<5000km
ALPINE,A110,81580,2 génération ,Coupé,2020,23/03/2020,ESSENCE,389,AUTOMATIQUE,83000,18,292,<5000km
ALPINE,A110,79230,2 génération ,Coupé,2020,23/03/2020,ESSENCE,460,AUTOMATIQUE,34000,15,252,<5000km
ALPINE,A110,79230,2 génération ,Coupé,2020,10/05/2020,ESSENCE,8060,AUTOMATIQUE,92000,15,252,<50000km
ALPINE,A310,51740,1 génération,Coupé,1981,23/03/2020,ESSENCE,54625,MANUEL,84000,15,193,<150000km
ALPINE,A110,101190,2 génération ,Coupé,2020,15/05/2020,ESSENCE,184,AUTOMATIQUE,92000,18,292,<5000km
ALPINE,A110,80600,2 génération ,Coupé,2019,23/03/2020,ESSENCE,3720,AUTOMATIQUE,54000,15,252,<5000km
ALPINE,A110,77400,2 génération ,Coupé,2020,23/03/2020,ESSENCE,1938,AUTOMATIQUE,2000,15,252,<5000km
ALPINE,A110,83980,2 génération ,Coupé,2020,23/03/2020,ESSENCE,224,AUTOMATIQUE,74000,18,292,<5000km
ALPINE,A110,77980,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2580,AUTOMATIQUE,38000,15,252,<5000km
ALPINE,A110,78590,2 génération ,Coupé,2020,23/03/2020,ESSENCE,123,AUTOMATIQUE,74000,15,252,<5000km
ALPINE,A310,61370,1 génération,Coupé,1980,23/03/2020,ESSENCE,84440,MANUEL,72000,15,150,<150000km
ALPINE,A110,72270,2 génération ,Coupé,2020,23/03/2020,ESSENCE,220,AUTOMATIQUE,42000,15,252,<5000km
ALPINE,A110,70440,2 génération ,Coupé,2019,23/03/2020,ESSENCE,6133,AUTOMATIQUE,13000,15,252,<50000km
ALPINE,A110,59250,2 génération ,Coupé,2020,09/04/2020,ESSENCE,6678,AUTOMATIQUE,6000,15,252,<50000km
ALPINE,A110,65800,2 génération ,Coupé,2020,23/03/2020,ESSENCE,537,AUTOMATIQUE,16000,15,252,<5000km
ALPINE,A110,66490,2 génération ,Coupé,2020,23/03/2020,ESSENCE,5450,AUTOMATIQUE,64000,15,252,<50000km
ALPINE,A110,75580,2 génération ,Coupé,2020,23/03/2020,ESSENCE,7800,AUTOMATIQUE,63000,15,252,<50000km
ALPINE,A110,77880,2 génération ,Coupé,2020,23/03/2020,ESSENCE,2400,AUTOMATIQUE,13000,15,252,<5000km
ALPINE,A110,64860,2 génération ,Coupé,2020,06/04/2020,ESSENCE,8425,AUTOMATIQUE,69000,15,252,<50000km
