marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
BMW,X1,18690,F48,4x4_SUV,2016,19/05/2020,DIESEL,108274,AUTOMATIQUE,24000,6,116,<150000km
BMW,X1,32580,F48,4x4_SUV,2017,03/04/2020,DIESEL,97520,AUTOMATIQUE,57000,13,231,<150000km
BMW,X1,34450,F48,4x4_SUV,2018,03/04/2020,DIESEL,69428,AUTOMATIQUE,57000,8,150,<150000km
BMW,1 SÉRIES,14430,F20slashcharacter001F21,Hatchback,2014,14/05/2020,DIESEL,117807,MANUEL,28000,6,116,<150000km
BMW,1 SÉRIES,13480,F20slashcharacter001F21,Hatchback,2014,03/04/2020,ESSENCE,84337,MANUEL,28000,7,136,<150000km
BMW,X1,19180,E84 [restyling],4x4_SUV,2016,19/05/2020,DIESEL,111123,AUTOMATIQUE,24000,6,116,<150000km
BMW,X3,37680,F25 [restyling],4x4_SUV,2016,03/04/2020,DIESEL,108397,AUTOMATIQUE,57000,16,258,<150000km
BMW,1 SÉRIES,21020,F20slashcharacter001F21 [restyling],Hatchback,2017,03/04/2020,DIESEL,97092,AUTOMATIQUE,57000,7,150,<150000km
BMW,X1,19180,F48,4x4_SUV,2016,19/05/2020,DIESEL,111123,AUTOMATIQUE,24000,6,116,<150000km
BMW,5 SÉRIES,20110,F07slashcharacter001F10slashcharacter001F11 [restyling],Berline,2016,03/04/2020,DIESEL,97403,MANUEL,57000,10,190,<150000km
BMW,X4,98270,G02,4x4_SUV,2020,13/05/2020,DIESEL,8118,AUTOMATIQUE,24000,21,326,<50000km
BMW,2 SÉRIES,16180,F22slashcharacter001F23 [restyling],Cabriolet,2017,26/05/2020,DIESEL,39934,MANUEL,24000,5,136,<50000km
BMW,X1,29450,E84 [restyling],4x4_SUV,2018,03/04/2020,DIESEL,59349,AUTOMATIQUE,57000,8,150,<150000km
BMW,X1,31690,F48,4x4_SUV,2017,03/04/2020,DIESEL,104229,AUTOMATIQUE,57000,10,190,<150000km
BMW,1 SÉRIES,20680,F20slashcharacter001F21 [restyling],Hatchback,2016,29/05/2020,ESSENCE,37835,AUTOMATIQUE,28000,7,136,<50000km
BMW,3 SÉRIES,20320,F30slashcharacter001F31slashcharacter001F34,Berline,2016,29/05/2020,DIESEL,126108,MANUEL,28000,8,150,<150000km
BMW,X6,44380,F16,4x4_SUV,2016,23/05/2020,DIESEL,92280,AUTOMATIQUE,41000,17,258,<150000km
BMW,X1,23730,E84 [restyling],4x4_SUV,2016,03/04/2020,DIESEL,86292,AUTOMATIQUE,57000,12,218,<150000km
BMW,1 SÉRIES,17640,F20slashcharacter001F21 [restyling],Hatchback,2017,03/04/2020,DIESEL,102589,MANUEL,57000,7,150,<150000km
BMW,1 SÉRIES,22760,F20slashcharacter001F21 [restyling],Hatchback,2018,29/05/2020,ESSENCE,21624,AUTOMATIQUE,28000,7,136,<50000km
BMW,1 SÉRIES,25240,F20slashcharacter001F21 [restyling],Hatchback,2020,16/04/2020,DIESEL,15718,AUTOMATIQUE,57000,6,116,<50000km
BMW,X1,33470,F48,4x4_SUV,2017,03/04/2020,DIESEL,100204,AUTOMATIQUE,57000,13,231,<150000km
BMW,3 SÉRIES,20320,F30slashcharacter001F31slashcharacter001F34,Break,2016,29/05/2020,DIESEL,126108,MANUEL,28000,8,150,<150000km
BMW,X1,29450,F48,4x4_SUV,2018,03/04/2020,DIESEL,59349,AUTOMATIQUE,57000,8,150,<150000km
BMW,X1,33390,F48,4x4_SUV,2018,28/05/2020,DIESEL,64980,AUTOMATIQUE,24000,8,150,<150000km
BMW,3 SÉRIES,19720,F30slashcharacter001F31slashcharacter001F34,Berline,2014,17/05/2020,DIESEL,52668,AUTOMATIQUE,92000,10,184,<150000km
BMW,X3,35380,F25 [restyling],4x4_SUV,2017,19/05/2020,ESSENCE,110448,AUTOMATIQUE,69000,20,306,<150000km
BMW,X3,31710,F25 [restyling],4x4_SUV,2016,23/05/2020,DIESEL,112768,AUTOMATIQUE,69000,10,190,<150000km
BMW,X6,48730,F16,4x4_SUV,2017,03/04/2020,DIESEL,101625,AUTOMATIQUE,69000,16,258,<150000km
BMW,6 SÉRIES,44250,G32,gran turismo liftback,2017,03/04/2020,DIESEL,95325,AUTOMATIQUE,18000,20,320,<150000km
BMW,1 SÉRIES,24330,F20slashcharacter001F21 [restyling],Hatchback,2017,03/04/2020,DIESEL,103688,AUTOMATIQUE,57000,7,150,<150000km
BMW,6 SÉRIES,44250,G32,gran turismo liftback,2017,03/04/2020,DIESEL,95325,AUTOMATIQUE,45000,20,320,<150000km
BMW,2 SÉRIES,18440,F22slashcharacter001F23 [restyling],Coupé,2018,27/04/2020,DIESEL,43876,MANUEL,24000,5,136,<50000km
BMW,5 SÉRIES,14280,F07slashcharacter001F10slashcharacter001F11 [restyling],Berline,2013,11/04/2020,DIESEL,204050,AUTOMATIQUE,41000,10,184,<250000km
BMW,X6,46120,E71 [restyling],4x4_SUV,2014,18/05/2020,DIESEL,73750,AUTOMATIQUE,91000,20,306,<150000km
BMW,3 SÉRIES,7330,E90slashcharacter001E91slashcharacter001E92slashcharacter001E93 [restyling],Break,2010,03/04/2020,DIESEL,186795,MANUEL,41000,7,143,<250000km
