marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
CADILLAC,ESCALADE,40000,3 génération,4x4_SUV,2013,10/04/2020,ESSENCE,86500,AUTOMATIQUE,74000,34,409,<150000km
CADILLAC,ESCALADE,88100,4 génération,4x4_SUV,2016,10/04/2020,ESSENCE,50,AUTOMATIQUE,98000,33,409,<5000km
CADILLAC,BLS,6990,1 génération,Berline,2014,12/05/2020,DIESEL,131474,MANUEL,31000,9,150,<150000km
CADILLAC,SRX,11000,1 génération,4x4_SUV,2006,14/05/2020,ESSENCE,123000,AUTOMATIQUE,35000,20,264,<150000km
CADILLAC,CTS,15390,2 génération,Berline,2014,02/06/2020,ESSENCE,132000,AUTOMATIQUE,91000,22,304,<150000km
CADILLAC,XT5,40000,1 génération,4x4_SUV,2018,10/04/2020,ESSENCE,15500,AUTOMATIQUE,6000,22,314,<50000km
CADILLAC,ESCALADE,69900,4 génération,4x4_SUV,2018,16/04/2020,ESSENCE,46500,AUTOMATIQUE,91000,0,409,<50000km
CADILLAC,ESCALADE,69900,4 génération,4x4_SUV,2018,16/04/2020,ESSENCE,46500,AUTOMATIQUE,69000,0,409,<50000km
CADILLAC,ESCALADE,71900,4 génération,4x4_SUV,2018,23/05/2020,ESSENCE,41500,AUTOMATIQUE,91000,0,409,<50000km
CADILLAC,ESCALADE,45900,3 génération,4x4_SUV,2011,10/04/2020,ESSENCE,75000,AUTOMATIQUE,69000,34,409,<150000km
CADILLAC,ESCALADE,72900,4 génération,4x4_SUV,2018,07/05/2020,ESSENCE,37900,AUTOMATIQUE,69000,0,409,<50000km
CADILLAC,SEVILLE,17800,4 génération,Berline,1983,10/04/2020,ESSENCE,57250,AUTOMATIQUE,33000,33,203,<150000km
CADILLAC,XT5,37700,1 génération,4x4_SUV,2017,24/05/2020,ESSENCE,40000,AUTOMATIQUE,13000,22,314,<50000km
CADILLAC,ESCALADE,18980,3 génération,4x4_SUV,2007,10/04/2020,ESSENCE,184281,AUTOMATIQUE,95000,34,409,<250000km
CADILLAC,ESCALADE,45900,3 génération,4x4_SUV,2011,10/04/2020,ESSENCE,75000,AUTOMATIQUE,91000,34,409,<150000km
CADILLAC,ESCALADE,72900,4 génération,4x4_SUV,2018,07/05/2020,ESSENCE,37900,AUTOMATIQUE,91000,0,409,<50000km
CADILLAC,ESCALADE,54900,3 génération,4x4_SUV,2008,10/04/2020,ESSENCE,55900,AUTOMATIQUE,91000,34,409,<150000km
CADILLAC,ALLANTE,15900,1 génération,Cabriolet,1988,20/05/2020,ESSENCE,90900,AUTOMATIQUE,31000,19,204,<150000km
CADILLAC,ESCALADE,54900,3 génération,4x4_SUV,2008,10/04/2020,ESSENCE,55900,AUTOMATIQUE,69000,34,409,<150000km
CADILLAC,ESCALADE,71900,4 génération,4x4_SUV,2018,23/05/2020,ESSENCE,41500,AUTOMATIQUE,69000,0,409,<50000km
CADILLAC,ELDORADO,14900,11 génération,Coupé,1993,10/04/2020,ESSENCE,37597,AUTOMATIQUE,33000,21,204,<50000km
CADILLAC,ESCALADE,39990,3 génération,4x4_SUV,2009,24/05/2020,ESSENCE,49000,AUTOMATIQUE,83000,34,409,<50000km
CADILLAC,ESCALADE,14000,2 génération,4x4_SUV,2005,07/05/2020,ESSENCE,260000,AUTOMATIQUE,60000,34,349,250000+km
CADILLAC,SRX,15900,2 génération,4x4_SUV,2011,13/05/2020,ESSENCE,126550,AUTOMATIQUE,49000,19,269,<150000km
CADILLAC,XT5,54900,1 génération,4x4_SUV,2019,13/04/2020,ESSENCE,3000,AUTOMATIQUE,84000,22,314,<5000km
CADILLAC,CTS,83880,3 génération,Berline,2018,03/06/2020,ESSENCE,18648,AUTOMATIQUE,37000,59,649,<50000km
CADILLAC,ESCALADE,37690,3 génération,4x4_SUV,2010,09/06/2020,ESSENCE,112320,AUTOMATIQUE,83000,35,409,<150000km
CADILLAC,ESCALADE,37340,3 génération,4x4_SUV,2010,12/05/2020,ESSENCE,105476,AUTOMATIQUE,69000,34,409,<150000km
CADILLAC,ESCALADE,36640,3 génération,4x4_SUV,2010,09/06/2020,ESSENCE,109200,AUTOMATIQUE,83000,35,409,<150000km
CADILLAC,CTS,74270,3 génération,Berline,2017,03/06/2020,ESSENCE,29326,AUTOMATIQUE,37000,59,649,<50000km
CADILLAC,SEVILLE,5380,5 génération,Berline,2001,10/04/2020,ESSENCE,253857,AUTOMATIQUE,2000,20,279,250000+km
CADILLAC,ESCALADE,41690,3 génération,4x4_SUV,2011,10/04/2020,ESSENCE,179580,AUTOMATIQUE,6000,34,409,<250000km
CADILLAC,ESCALADE,41180,3 génération,4x4_SUV,2010,12/05/2020,ESSENCE,116320,AUTOMATIQUE,91000,34,409,<150000km
CADILLAC,ESCALADE,104830,4 génération,4x4_SUV,2021,10/04/2020,ESSENCE,21,AUTOMATIQUE,67000,35,409,<5000km
CADILLAC,XT5,60870,1 génération,4x4_SUV,2020,03/06/2020,ESSENCE,61,AUTOMATIQUE,37000,22,314,<5000km
CADILLAC,ATS,53390,1 génération [restyling],Berline,2017,10/04/2020,ESSENCE,161,AUTOMATIQUE,67000,37,276,<5000km
CADILLAC,DTS,41890,1 génération,Berline,2010,10/04/2020,ESSENCE,2625,AUTOMATIQUE,16000,27,279,<5000km
CADILLAC,SRX,17170,2 génération,4x4_SUV,2012,13/05/2020,ESSENCE,136674,AUTOMATIQUE,49000,19,269,<150000km
CADILLAC,BLS,11490,1 génération,Berline,2009,28/05/2020,DIESEL,128260,AUTOMATIQUE,33000,9,150,<150000km
CADILLAC,CTS,14280,2 génération,Berline,2009,10/04/2020,ESSENCE,210000,AUTOMATIQUE,65000,15,211,<250000km
CADILLAC,ESCALADE,42510,4 génération,4x4_SUV,2014,10/04/2020,ESSENCE,131705,AUTOMATIQUE,91000,35,409,<150000km
CADILLAC,SRX,11660,2 génération,4x4_SUV,2011,10/04/2020,ESSENCE,246330,AUTOMATIQUE,27000,19,269,<250000km
CADILLAC,ESCALADE,20140,2 génération,pickup,2004,10/04/2020,ESSENCE,243800,AUTOMATIQUE,25000,34,345,<250000km
CADILLAC,ESCALADE,36580,3 génération,4x4_SUV,2008,10/04/2020,ESSENCE,217000,AUTOMATIQUE,35000,35,409,<250000km
CADILLAC,ESCALADE,21240,3 génération,4x4_SUV,2008,15/05/2020,ESSENCE,187620,AUTOMATIQUE,94000,34,409,<250000km
CADILLAC,SRX,8450,1 génération,4x4_SUV,2007,10/04/2020,ESSENCE,178475,AUTOMATIQUE,78000,20,264,<250000km
CADILLAC,CTS,34330,2 génération,Berline,2010,13/04/2020,ESSENCE,78513,AUTOMATIQUE,24000,0,564,<150000km
