marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
CITROEN,C3,12380,3 génération,Hatchback,2019,08/04/2020,ESSENCE,47300,MANUEL,66000,4,82,<50000km
CITROEN,SPACETOURER,35940,1 génération,Monospace,2019,08/04/2020,DIESEL,50433,MANUEL,24000,8,150,<150000km
CITROEN,JUMPY,12300,2 génération,Monospace,2017,02/05/2020,DIESEL,122862,MANUEL,24000,5,90,<150000km
CITROEN,C4 AIRCROSS,13090,1 génération,4x4_SUV,2016,09/05/2020,DIESEL,138512,MANUEL,24000,6,114,<150000km
CITROEN,C3,15100,3 génération,Hatchback,2019,05/05/2020,DIESEL,30357,MANUEL,24000,5,99,<50000km
CITROEN,C3,14480,3 génération,Hatchback,2018,06/05/2020,ESSENCE,31192,MANUEL,24000,4,82,<50000km
CITROEN,C3,15300,3 génération,Hatchback,2020,08/04/2020,ESSENCE,13800,MANUEL,61000,4,82,<50000km
CITROEN,C4,10960,2 génération,Hatchback,2017,13/05/2020,ESSENCE,45261,MANUEL,91000,4,82,<50000km
CITROEN,C4,15460,2 génération [restyling],Berline,2020,12/05/2020,DIESEL,22210,MANUEL,31000,5,114,<50000km
CITROEN,C3,14590,3 génération,Hatchback,2020,08/04/2020,ESSENCE,13663,MANUEL,34000,4,82,<50000km
CITROEN,C4,15520,2 génération,Hatchback,2017,27/05/2020,DIESEL,62376,AUTOMATIQUE,24000,5,95,<150000km
CITROEN,C5 AIRCROSS,30120,1 génération,4x4_SUV,2019,29/04/2020,DIESEL,5459,MANUEL,34000,6,131,<50000km
CITROEN,C3,23720,3 génération,Hatchback,2020,08/04/2020,ESSENCE,3936,MANUEL,34000,5,110,<5000km
CITROEN,C4,17420,2 génération [restyling],Berline,2019,15/04/2020,ESSENCE,35098,AUTOMATIQUE,13000,6,114,<50000km
CITROEN,C5,20890,2 génération,Break,2018,16/05/2020,DIESEL,32550,AUTOMATIQUE,77000,9,181,<50000km
CITROEN,C3,14860,3 génération,Hatchback,2019,08/04/2020,ESSENCE,43648,MANUEL,34000,4,82,<50000km
CITROEN,C3,12290,3 génération,Hatchback,2018,08/05/2020,DIESEL,48919,MANUEL,66000,4,75,<50000km
CITROEN,C3 AIRCROSS,20850,1 génération,Hatchback,2020,08/04/2020,DIESEL,30617,MANUEL,34000,5,99,<50000km
CITROEN,C5 AIRCROSS,28140,1 génération,4x4_SUV,2020,06/06/2020,DIESEL,39312,MANUEL,63000,6,131,<50000km
CITROEN,C4 SPACETOURER,26290,1 génération,Monospace,2020,08/04/2020,DIESEL,20607,MANUEL,34000,6,120,<50000km
CITROEN,C3,14880,3 génération,Hatchback,2020,05/06/2020,DIESEL,21459,MANUEL,30000,5,99,<50000km
CITROEN,BERLINGO,26200,3 génération,Monospace,2019,08/04/2020,DIESEL,26912,MANUEL,1000,7,130,<50000km
CITROEN,C4,21140,2 génération [restyling],Berline,2021,28/05/2020,ESSENCE,1,AUTOMATIQUE,42000,6,114,<5000km
CITROEN,C4,15860,2 génération,Hatchback,2016,13/04/2020,DIESEL,70725,AUTOMATIQUE,13000,6,120,<150000km
CITROEN,C3,14290,2 génération [restyling],Hatchback,2020,05/06/2020,DIESEL,15712,MANUEL,30000,5,95,<50000km
CITROEN,C5 AIRCROSS,27280,1 génération,4x4_SUV,2020,06/06/2020,DIESEL,13761,MANUEL,42000,6,131,<50000km
CITROEN,C3 AIRCROSS,25400,1 génération,Hatchback,2021,08/04/2020,ESSENCE,25,MANUEL,34000,5,110,<5000km
