marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
FERRARI,488,196760,1 génération,spider roadster,2017,13/05/2020,ESSENCE,12500,AUTOMATIQUE,66000,62,670,<50000km
FERRARI,488,212680,1 génération,spider roadster,2018,30/03/2020,ESSENCE,78288,AUTOMATIQUE,66000,61,670,<150000km
FERRARI,348,81780,1 génération,Coupé,1993,30/03/2020,ESSENCE,29250,MANUEL,24000,21,300,<50000km
FERRARI,CALIFORNIA,136270,1 génération,Cabriolet,2010,30/03/2020,ESSENCE,24676,AUTOMATIQUE,66000,37,460,<50000km
FERRARI,CALIFORNIA,147030,2 génération,Cabriolet,2016,30/03/2020,ESSENCE,38695,AUTOMATIQUE,66000,47,560,<50000km
FERRARI,488,228730,1 génération,spider roadster,2019,14/05/2020,ESSENCE,20125,AUTOMATIQUE,37000,61,670,<50000km
FERRARI,F430,127010,1 génération,Coupé,2009,30/03/2020,ESSENCE,41043,AUTOMATIQUE,92000,43,490,<50000km
FERRARI,488,440130,1 génération,Coupé,2019,30/03/2020,ESSENCE,10303,AUTOMATIQUE,92000,0,720,<50000km
FERRARI,MONDIAL,48280,T,Cabriolet,1989,28/05/2020,ESSENCE,112350,MANUEL,49000,22,296,<150000km
FERRARI,488,294410,1 génération,Coupé,2018,30/03/2020,ESSENCE,8083,AUTOMATIQUE,92000,61,670,<50000km
FERRARI,FF,188610,1 génération,Coupé,2015,30/03/2020,ESSENCE,22610,AUTOMATIQUE,98000,63,660,<50000km
FERRARI,TESTAROSSA,119790,1 génération,Coupé,1989,30/03/2020,ESSENCE,61967,MANUEL,27000,34,390,<150000km
FERRARI,TESTAROSSA,182730,1 génération,Coupé,1986,22/04/2020,ESSENCE,51351,MANUEL,67000,28,390,<150000km
FERRARI,F430,201280,1 génération,Coupé,2009,28/04/2020,ESSENCE,42700,AUTOMATIQUE,66000,43,510,<50000km
FERRARI,360,70740,1 génération,Coupé,2001,30/03/2020,ESSENCE,53628,MANUEL,74000,34,400,<150000km
FERRARI,F430,191420,1 génération,Coupé,2010,30/03/2020,ESSENCE,40137,AUTOMATIQUE,31000,43,510,<50000km
FERRARI,F430,115640,1 génération,Coupé,2008,30/03/2020,ESSENCE,56208,AUTOMATIQUE,51000,43,490,<150000km
FERRARI,488,204220,1 génération,spider roadster,2017,30/03/2020,ESSENCE,19739,AUTOMATIQUE,92000,61,670,<50000km
FERRARI,FF,145840,1 génération,Coupé,2012,30/03/2020,ESSENCE,58800,AUTOMATIQUE,98000,63,660,<150000km
FERRARI,488,255730,1 génération,spider roadster,2018,12/05/2020,ESSENCE,10300,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,F430,134070,1 génération,Coupé,2008,29/05/2020,ESSENCE,43754,AUTOMATIQUE,69000,43,490,<50000km
FERRARI,488,261490,1 génération,Coupé,2019,12/05/2020,ESSENCE,10304,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,488,248290,1 génération,Coupé,2017,12/05/2020,ESSENCE,10355,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,599,142600,1 génération,Coupé,2010,30/03/2020,ESSENCE,41404,AUTOMATIQUE,98000,58,620,<50000km
FERRARI,TESTAROSSA,132390,1 génération,Coupé,1994,13/04/2020,ESSENCE,39220,MANUEL,31000,28,390,<50000km
FERRARI,488,259090,1 génération,spider roadster,2017,12/05/2020,ESSENCE,19218,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,488,217450,1 génération,Coupé,2016,30/03/2020,ESSENCE,11902,AUTOMATIQUE,92000,62,670,<50000km
FERRARI,488,208950,1 génération,Coupé,2018,20/05/2020,ESSENCE,16801,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,CALIFORNIA,189740,2 génération,Cabriolet,2018,30/03/2020,ESSENCE,13225,AUTOMATIQUE,84000,47,560,<50000km
FERRARI,FF,174870,1 génération,Coupé,2012,12/05/2020,ESSENCE,51830,AUTOMATIQUE,69000,63,660,<150000km
FERRARI,CALIFORNIA,134310,1 génération,Cabriolet,2014,30/03/2020,ESSENCE,24414,AUTOMATIQUE,77000,37,460,<50000km
FERRARI,488,210410,1 génération,Coupé,2017,30/03/2020,ESSENCE,22227,AUTOMATIQUE,92000,61,670,<50000km
FERRARI,CALIFORNIA,124180,1 génération,Cabriolet,2013,30/03/2020,ESSENCE,51980,AUTOMATIQUE,74000,40,490,<150000km
FERRARI,F355,91880,1 génération,Coupé,1999,28/04/2020,ESSENCE,64860,MANUEL,31000,20,375,<150000km
FERRARI,488,232140,1 génération,spider roadster,2018,30/03/2020,ESSENCE,27560,AUTOMATIQUE,98000,61,670,<50000km
FERRARI,458,165760,1 génération,Coupé,2011,30/03/2020,ESSENCE,47328,AUTOMATIQUE,31000,49,570,<50000km
FERRARI,456,65980,1 génération,Coupé,2000,30/03/2020,ESSENCE,80740,AUTOMATIQUE,47000,40,442,<150000km
FERRARI,488,251890,1 génération,spider roadster,2019,12/05/2020,ESSENCE,9883,AUTOMATIQUE,69000,61,670,<50000km
FERRARI,488,261970,1 génération,Coupé,2017,30/03/2020,ESSENCE,8395,AUTOMATIQUE,92000,61,670,<50000km
FERRARI,488,226080,1 génération,spider roadster,2019,22/04/2020,ESSENCE,40484,AUTOMATIQUE,67000,61,670,<50000km
FERRARI,458,230250,1 génération,Coupé,2015,30/03/2020,ESSENCE,13045,AUTOMATIQUE,92000,49,570,<50000km
FERRARI,458,203280,1 génération,Coupé,2012,22/04/2020,ESSENCE,10735,AUTOMATIQUE,67000,49,570,<50000km
FERRARI,488,212680,1 génération,spider roadster,2017,21/05/2020,ESSENCE,7784,AUTOMATIQUE,67000,62,670,<50000km
FERRARI,488,317370,1 génération,spider roadster,2018,30/03/2020,ESSENCE,4250,AUTOMATIQUE,98000,61,670,<5000km
FERRARI,348,86670,1 génération,ts targa,1993,30/03/2020,ESSENCE,29455,MANUEL,31000,21,300,<50000km
FERRARI,488,300930,1 génération,Coupé,2020,30/03/2020,ESSENCE,94,AUTOMATIQUE,25000,61,670,<5000km
FERRARI,458,164080,1 génération,Coupé,2012,30/03/2020,ESSENCE,64201,AUTOMATIQUE,66000,49,570,<150000km
FERRARI,456,71990,1 génération,Coupé,1995,13/04/2020,ESSENCE,102082,MANUEL,69000,31,442,<150000km
FERRARI,599,147870,1 génération,Coupé,2008,30/03/2020,ESSENCE,40338,AUTOMATIQUE,92000,60,620,<50000km
FERRARI,PORTOFINO,279630,1 génération,Cabriolet,2020,13/04/2020,ESSENCE,5733,AUTOMATIQUE,69000,52,600,<50000km
FERRARI,CALIFORNIA,132380,1 génération,Cabriolet,2014,30/03/2020,ESSENCE,27560,AUTOMATIQUE,66000,37,490,<50000km
