marque,modele,version,prix,annee,date,motor,kilometrage,boite de vitesse,code postal,etat
Nissan,Qashqai,,8490,2012,15/04/2020,Diesel,153000,Manuelle,88500,<250000km
Nissan,Juke,,14900,2019,15/04/2020,Diesel,850,Manuelle,31000,<5000km
Opel,Meriva,,1900,2005,15/04/2020,Diesel,167000,Manuelle,9100,<250000km
Porsche,911,,64990,1999,15/04/2020,Essence,61640,Manuelle,60740,<150000km
Mitsubishi,Outlander,,16990,2016,15/04/2020,Diesel,105285,Automatique,60740,<150000km
Audi,Q5,,51990,2017,15/04/2020,Diesel,40955,Automatique,60740,<50000km
Porsche,Boxster,,56990,2017,15/04/2020,Essence,8949,Automatique,60740,<50000km
Audi,Rs3,,43990,2015,15/04/2020,Essence,43182,Automatique,60740,<50000km
Bmw,X1,,36990,2018,15/04/2020,Diesel,23691,Automatique,60740,<50000km
Audi,A3,,17790,2013,15/04/2020,Diesel,92826,Automatique,60740,<150000km
Bmw,X5,,45950,2016,27/03/2020,Diesel,40000,Automatique,57100,<50000km
Renault,Clio,,5900,2008,12/03/2020,Diesel,111218,Manuelle,38320,<150000km
Seat,Ibiza,,700,2000,16/04/2020,Diesel,290000,Manuelle,95380,+250000km
Renault,Laguna,,6000,2009,16/04/2020,Diesel,153000,Manuelle,33380,<250000km
Peugeot,208,,3000,2015,16/04/2020,Diesel,105000,Manuelle,2000,<150000km
Kia,Sportage,,9500,2011,05/02/2020,Diesel,152000,Manuelle,13570,<250000km
Peugeot,508,,5500,2012,16/04/2020,Diesel,192000,Manuelle,52290,<250000km
Chevrolet,Captiva,,9990,2013,16/04/2020,Diesel,116000,Automatique,45200,<150000km
Lotus,Exige,,124500,2019,09/03/2020,Essence,3200,Manuelle,6240,<5000km
Renault,Clio,,2500,2007,16/04/2020,Diesel,244000,Manuelle,68100,<250000km
Volkswagen,Polo,,2990,2007,07/04/2020,Diesel,175000,Manuelle,93190,<250000km
Renault,R4,,850,1985,16/04/2020,Essence,135680,Manuelle,83460,<150000km
Peugeot,307,,600,2003,16/04/2020,Essence,260000,Manuelle,57100,+250000km
Peugeot,309,,13500,1990,16/04/2020,Essence,157000,Manuelle,68700,<250000km
Renault,Clio,,3000,2014,16/04/2020,Diesel,110000,Manuelle,95110,<150000km
Renault,Megane,,8900,2018,12/03/2020,Essence,45000,Manuelle,59000,<50000km
Ferrari,F360,,179000,2004,16/03/2020,Essence,24456,Automatique,6240,<50000km
Audi,A3,,6000,2009,16/04/2020,Diesel,180000,Manuelle,57450,<250000km
Lotus,Exige,,106000,2019,14/02/2020,Essence,50,Manuelle,6240,<5000km
Volkswagen,Golf,,800,1990,16/04/2020,Essence,243236,Manuelle,68740,<250000km
Renault,Kadjar,,3000,2016,16/04/2020,Diesel,118000,Manuelle,97290,<150000km
Nissan,Navara,,2700,2003,16/04/2020,Diesel,118000,Manuelle,97222,<150000km
Porsche,911,,109911,1970,18/02/2020,Essence,17060,Manuelle,6800,<50000km
Porsche,911,,25900,1998,07/02/2020,Essence,133400,Manuelle,33700,<150000km
Porsche,911,,95000,1971,04/04/2020,Essence,54000,Manuelle,31000,<150000km
Porsche,911,,59911,1971,15/03/2020,Essence,52400,Manuelle,6800,<150000km
Porsche,Cayenne,,16500,2009,15/04/2020,Diesel,200000,Automatique,33000,<250000km
Porsche,Cayenne,,17000,2009,15/04/2020,Diesel,142800,Automatique,76790,<150000km
Porsche,911,,59964,1990,30/03/2020,Essence,130290,Manuelle,6800,<150000km
Porsche,911,,49997,2008,25/03/2020,Essence,90150,Manuelle,6800,<150000km
Porsche,911,,49993,1994,15/03/2020,Essence,179850,Manuelle,6800,<250000km
Porsche,Cayenne,,19900,2007,15/04/2020,Essence,113000,Automatique,57330,<150000km
Porsche,911,,51996,2005,09/03/2020,Essence,73310,Automatique,6800,<150000km
Porsche,911,,25900,2002,15/04/2020,Essence,196000,Manuelle,70000,<250000km
Porsche,911,,51990,2009,13/03/2020,Essence,127700,Automatique,35000,<150000km
Porsche,Cayenne,,10000,2005,15/04/2020,Essence,160000,Automatique,83480,<250000km
Porsche,911,,38000,2004,25/02/2020,Essence,98000,Automatique,20200,<150000km
Porsche,Cayenne,,22490,2009,01/02/2020,Essence,132100,Automatique,94100,<150000km
Porsche,911,,49990,2005,15/04/2020,Essence,57000,Manuelle,14000,<150000km
Porsche,Boxster,,29990,2005,15/04/2020,Essence,65000,Manuelle,95590,<150000km
Porsche,Cayenne,,8500,2004,15/04/2020,Autre,256000,Automatique,69140,+250000km
Porsche,911,,59000,2009,15/03/2020,Essence,87000,Manuelle,10000,<150000km
Porsche,911,,49500,1999,15/04/2020,Essence,109000,Manuelle,91400,<150000km
Porsche,930,,85000,1981,26/02/2020,Essence,146348,Manuelle,21800,<150000km
Porsche,928,,39900,1991,26/02/2020,Essence,151000,Manuelle,33260,<250000km
Porsche,911,,35000,1999,15/04/2020,Essence,157196,Manuelle,31130,<250000km
Porsche,Cayenne,,19990,2007,15/04/2020,Essence,79000,Automatique,6250,<150000km
Porsche,Cayenne,,8500,2007,15/04/2020,Essence,189000,Automatique,94190,<250000km
Porsche,Cayenne,,8000,2004,15/04/2020,Essence,230000,Automatique,87000,<250000km
Porsche,944,,22900,1984,19/02/2020,Essence,127600,Manuelle,25440,<150000km
Porsche,Cayenne,,19990,2009,20/01/2020,Essence,127500,Automatique,78240,<150000km
Porsche,944,,12890,1983,09/03/2020,Essence,31000,Manuelle,71100,<50000km
Porsche,911,,36996,2003,01/04/2020,Essence,99996,Automatique,54136,<150000km
Porsche,Boxster,,29987,2005,27/03/2020,Essence,76152,Manuelle,54136,<150000km
Porsche,Cayenne,,13490,2005,28/01/2020,Essence,103800,Automatique,71100,<150000km
Porsche,Cayenne,,11990,2004,12/03/2020,Essence,120000,Automatique,83130,<150000km
Porsche,911,,69900,2010,15/02/2020,Essence,38000,Automatique,67460,<50000km
Porsche,911,,79000,1995,16/03/2020,Essence,76300,Manuelle,67460,<150000km
Porsche,911,,69000,2006,15/04/2020,Essence,74600,Manuelle,6400,<150000km
Porsche,Boxster,,24900,2005,23/03/2020,Essence,114500,Manuelle,67460,<150000km
Porsche,911,,109000,1993,23/03/2020,Essence,182000,Manuelle,67460,<250000km
Porsche,Panamera,,45000,2010,10/04/2020,Essence,92200,Automatique,34300,<150000km
Porsche,Cayman,,33990,2006,08/04/2020,Essence,49500,Automatique,76000,<50000km
Porsche,Boxster,,38800,2010,15/04/2020,Essence,63000,Automatique,31000,<150000km
Porsche,Cayenne,,9999,2004,15/02/2020,Essence,200000,Automatique,57970,<250000km
Porsche,911,,64990,1999,09/04/2020,Essence,61640,Manuelle,60740,<150000km
Porsche,Boxster,,13990,1999,21/02/2020,Essence,131607,Manuelle,60740,<150000km
Porsche,911,,27990,2001,19/02/2020,Essence,120389,Manuelle,60740,<150000km
Porsche,Cayenne,,17990,2007,29/01/2020,Essence,196682,Automatique,60740,<250000km
Porsche,911,,54990,2009,03/04/2019,Essence,95040,Automatique,60740,<150000km
Porsche,911,,154999,2007,25/02/2020,Essence,36000,Manuelle,57970,<50000km
Porsche,911,,99999,2010,24/01/2020,Essence,79298,Automatique,57970,<150000km
Porsche,Cayenne,,11290,2009,02/03/2020,Diesel,309000,Automatique,30650,+250000km
Porsche,Boxster,,12900,1999,15/04/2020,Essence,155000,Manuelle,73100,<250000km
Porsche,911,,61900,2009,15/04/2020,Essence,79500,Manuelle,1290,<150000km
Porsche,Cayenne,,16990,2007,22/02/2020,Essence,106500,Automatique,42100,<150000km
Porsche,Cayenne,,9900,2004,19/02/2020,Essence,254000,Automatique,70190,+250000km
Porsche,924,,3000,1983,15/04/2020,Essence,1,Manuelle,32700,<5000km
Porsche,911,,35900,2005,10/02/2020,Essence,145000,Manuelle,83490,<150000km
Porsche,Cayman,,25000,2007,15/04/2020,Essence,73000,Manuelle,83000,<150000km
Porsche,Cayenne,,11000,2004,15/04/2020,Essence,160000,Manuelle,78700,<250000km
Porsche,911,,44990,2009,20/02/2020,Essence,112000,Automatique,35000,<150000km
Porsche,Panamera,,42900,2010,26/01/2020,Essence,96000,Automatique,82200,<150000km
Porsche,911,,57100,1984,15/04/2020,Essence,52709,Manuelle,59170,<150000km
Porsche,911,,73900,2010,15/04/2020,Essence,52500,Automatique,78800,<150000km
Porsche,Cayenne,,20000,2010,15/04/2020,Diesel,223000,Automatique,76590,<250000km
Porsche,911,,52000,1985,15/04/2020,Essence,101348,Manuelle,13002,<150000km
Porsche,Cayenne,,5000,2004,15/04/2020,Essence,215000,Automatique,35000,<250000km
Porsche,911,,67911,2006,15/04/2020,Essence,79400,Manuelle,36000,<150000km
Porsche,Cayman,,24000,2008,13/04/2020,Essence,127000,Manuelle,91650,<150000km
Porsche,Panamera,,42990,2009,15/04/2020,Essence,89391,Automatique,75015,<150000km
Porsche,911,,51900,1994,15/04/2020,Essence,149500,Manuelle,92100,<150000km
Porsche,Boxster,,19400,2004,02/03/2020,Essence,99500,Manuelle,26000,<150000km
Porsche,Cayenne,,16890,2007,15/02/2020,Essence,145900,Automatique,69680,<150000km
Porsche,911,,42500,2006,02/03/2020,Essence,142000,Manuelle,13510,<150000km
Porsche,911,,36990,2002,20/01/2020,Essence,125000,Automatique,13510,<150000km
Porsche,Cayenne,,7000,2005,15/04/2020,Essence,243000,Automatique,59330,<250000km
Porsche,911,,53990,2007,15/04/2020,Essence,68729,Manuelle,75015,<150000km
Porsche,944,,19900,1991,10/03/2020,Essence,174000,Manuelle,45360,<250000km
Porsche,Cayenne,,9990,2006,15/04/2020,Essence,175000,Manuelle,34000,<250000km
Porsche,911,,53990,2009,06/03/2019,Essence,49855,Manuelle,60740,<50000km
Porsche,911,,49999,1987,15/04/2020,Essence,128000,Manuelle,69440,<150000km
Porsche,944,,9500,1984,15/04/2020,Essence,250,Manuelle,69430,<5000km
Porsche,Cayenne,,6590,2004,15/04/2020,Essence,250000,Manuelle,95480,+250000km
Porsche,911,,46000,2005,18/03/2020,Essence,108000,Manuelle,56250,<150000km
Porsche,911,,52900,1987,26/02/2020,Essence,160100,Manuelle,64200,<250000km
