Opel,Astra,,2 300 €,2005,17/04/2020,Nîmes ,Diesel,166000 km,Manuelle,30000,
Peugeot,208,,3 000 €,2015,17/04/2020,Châteauroux ,Diesel,105000 km,Manuelle,36000,
Renault,Clio,,2 700 €,2014,17/04/2020,Ambonnay ,Diesel,114000 km,Manuelle,51150,
Renault,Kadjar,,3 000 €,2017,17/04/2020,Génicourt ,Diesel,118000 km,Manuelle,95650,
Renault,Clio,,3 000 €,2009,17/04/2020,Courbevoie ,Diesel,114300 km,Manuelle,92400,
Alfa Romeo,147,,2 200 €,2006,17/04/2020,Nancy ,Diesel,212000 km,Manuelle,54000,
Land Rover,Range Rover,,17 000 €,2016,17/04/2020,Saint-Nazaire ,Diesel,121800 km,Automatique,44600,
Jeep,Wrangler,,4 500 €,1998,17/04/2020,Paimpol ,Essence,173500 km,Manuelle,22500,
Mini,Mini,,3 000 €,2004,17/04/2020,Saint-Paul ,Diesel,325000 km,Manuelle,97460,
Audi,A3,,1 500 €,2001,17/04/2020,Rennes ,Diesel,272000 km,Manuelle,35000,
Renault,Megane,,3 000 €,2010,17/04/2020,Lille  Hellemmes-Lille,Diesel,177000 km,Manuelle,59260,
Audi,A3,,2 200 €,2004,17/04/2020,Alès ,Diesel,310000 km,Manuelle,30100,
Peugeot,508,,7 900 €,2013,17/04/2020,Argenteuil ,Diesel,255000 km,Automatique,95100,
Volkswagen,Passat,,3 490 €,2007,17/04/2020,Montbéliard ,Diesel,200000 km,Manuelle,25200,
Mercedes,Classe E,,4 000 €,2005,17/04/2020,Montauban ,Essence,239000 km,Automatique,82000,
Renault,Clio,,600 €,1999,17/04/2020,Souffelweyersheim ,Essence,223300 km,Manuelle,67460,
Nissan,Navara,,2 700 €,2003,17/04/2020,Apatou ,Diesel,118000 km,Manuelle,97317,
Dacia,Duster,,2 700 €,2016,17/04/2020,Remire-Montjoly ,Diesel,118000 km,Manuelle,97354,
Peugeot,207,,2 700 €,2009,17/04/2020,Basse-Terre ,Diesel,118000 km,Manuelle,97100,
Renault,Kadjar,,3 000 €,2016,17/04/2020,Cayenne ,Diesel,118000 km,Manuelle,97300,
Renault,Clio,,1 800 €,2010,17/04/2020,Arles ,Diesel,188000 km,Manuelle,13200,
Ford,Fiesta,,5 990 €,2012,17/04/2020,Bouville ,Essence,89000 km,Manuelle,76360,
Peugeot,407,,3 000 €,2010,17/04/2020,Villeparisis ,Diesel,325000 km,Automatique,77270,
