index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
0,BMW,X2,33010,F39,4x4_SUV,2019,07/05/2020,DIESEL,15136,AUTOMATIQUE,24000,8,150,<50000km
1,BMW,X1,30840,F48,4x4_SUV,2018,28/05/2020,DIESEL,60024,AUTOMATIQUE,24000,8,150,<150000km
2,BMW,X1,17710,E84 [restyling],4x4_SUV,2016,19/05/2020,DIESEL,102575,AUTOMATIQUE,24000,6,116,<150000km
3,BMW,X1,11280,E84,4x4_SUV,2011,19/05/2020,DIESEL,145205,MANUEL,28000,8,143,<150000km
4,BMW,X1,37060,F48,4x4_SUV,2017,30/03/2020,DIESEL,110940,AUTOMATIQUE,57000,13,231,<150000km
5,BMW,1 SÉRIES,23360,F20slashcharacter001F21 [restyling],Hatchback,2017,30/03/2020,DIESEL,107880,AUTOMATIQUE,57000,7,150,<150000km
6,BMW,1 SÉRIES,14980,F20slashcharacter001F21,Hatchback,2014,30/03/2020,ESSENCE,93708,MANUEL,28000,7,136,<150000km
7,BMW,1 SÉRIES,18790,F20slashcharacter001F21 [restyling],Hatchback,2017,29/04/2020,DIESEL,42742,AUTOMATIQUE,24000,5,116,<50000km
8,BMW,X1,26370,F48,4x4_SUV,2016,30/03/2020,DIESEL,95880,AUTOMATIQUE,57000,12,231,<150000km
9,BMW,1 SÉRIES,24280,F20slashcharacter001F21 [restyling],Hatchback,2016,30/03/2020,DIESEL,76250,AUTOMATIQUE,57000,10,190,<150000km
10,BMW,1 SÉRIES,16250,F20slashcharacter001F21 [restyling],Hatchback,2017,30/03/2020,DIESEL,94490,MANUEL,57000,7,150,<150000km
11,BMW,X1,32790,F48,4x4_SUV,2018,30/03/2020,DIESEL,66068,AUTOMATIQUE,57000,8,150,<150000km
12,BMW,1 SÉRIES,19060,F20slashcharacter001F21 [restyling],Hatchback,2016,29/05/2020,ESSENCE,34874,AUTOMATIQUE,28000,7,136,<50000km
13,BMW,1 SÉRIES,23360,F20slashcharacter001F21 [restyling],Hatchback,2020,16/04/2020,DIESEL,14549,AUTOMATIQUE,57000,6,116,<50000km
14,BMW,2 SÉRIES,17980,F22slashcharacter001F23 [restyling],Cabriolet,2017,26/05/2020,DIESEL,44371,MANUEL,24000,5,136,<50000km
15,BMW,5 SÉRIES,22390,F07slashcharacter001F10slashcharacter001F11 [restyling],Berline,2016,30/03/2020,DIESEL,108430,MANUEL,57000,10,190,<150000km
16,BMW,X1,26090,E84 [restyling],4x4_SUV,2015,30/03/2020,DIESEL,77121,AUTOMATIQUE,57000,12,218,<150000km
17,BMW,5 SÉRIES,28730,F07slashcharacter001F10slashcharacter001F11 [restyling],Berline,2015,30/03/2020,DIESEL,196875,AUTOMATIQUE,41000,16,258,<250000km
18,BMW,X1,29350,F48,4x4_SUV,2017,30/03/2020,DIESEL,96540,AUTOMATIQUE,57000,10,190,<150000km
19,BMW,2 SÉRIES,22400,F22slashcharacter001F23 [restyling],Cabriolet,2017,30/04/2020,DIESEL,37832,AUTOMATIQUE,24000,7,150,<50000km
20,BMW,1 SÉRIES,16450,F20slashcharacter001F21,Hatchback,2014,14/05/2020,DIESEL,134322,MANUEL,28000,6,116,<150000km
21,BMW,1 SÉRIES,25340,F20slashcharacter001F21 [restyling],Hatchback,2018,29/05/2020,ESSENCE,24072,AUTOMATIQUE,28000,7,136,<50000km
22,BMW,5 SÉRIES,15970,F07slashcharacter001F10slashcharacter001F11 [restyling],Berline,2013,11/04/2020,DIESEL,228165,AUTOMATIQUE,41000,10,184,<250000km
23,BMW,6 SÉRIES,41370,G32,gran turismo liftback,2017,30/03/2020,DIESEL,89125,AUTOMATIQUE,45000,20,320,<150000km
24,BMW,2 SÉRIES,17200,F22slashcharacter001F23 [restyling],Coupé,2018,27/04/2020,DIESEL,40927,MANUEL,24000,5,136,<50000km
25,BMW,6 SÉRIES,41370,G32,gran turismo liftback,2017,30/03/2020,DIESEL,89125,AUTOMATIQUE,18000,20,320,<150000km
27,BMW,1 SÉRIES,22770,F20slashcharacter001F21 [restyling],Hatchback,2017,30/03/2020,DIESEL,97052,AUTOMATIQUE,57000,7,150,<150000km
29,BMW,3 SÉRIES,21840,F30slashcharacter001F31slashcharacter001F34 [restyling],Berline,2016,30/03/2020,DIESEL,155953,AUTOMATIQUE,69000,10,190,<250000km
30,BMW,4 SÉRIES,19600,F32slashcharacter001F33slashcharacter001F36,Coupé,2016,24/05/2020,DIESEL,187480,AUTOMATIQUE,71000,10,184,<250000km
31,BMW,3 SÉRIES,8240,F30slashcharacter001F31slashcharacter001F34,Berline,2010,30/03/2020,DIESEL,209922,MANUEL,41000,7,143,<250000km
32,BMW,X1,35260,F48,4x4_SUV,2019,30/03/2020,ESSENCE,15592,AUTOMATIQUE,71000,7,140,<50000km
33,BMW,3 SÉRIES,14970,F30slashcharacter001F31slashcharacter001F34,Break,2016,30/03/2020,DIESEL,238572,AUTOMATIQUE,76000,10,184,<250000km
