dates,200 cv,180 cv,150 cv,510 cv,280 cv,210 cv
2019-05-01,39480.0,36999.0,34930.0,131500.0,67250.0,45995.0
2019-07-01,41995.0,42540.0,33990.0,109990.0,52945.0,49490.0
2019-10-01,37490.0,38582.5,46900.0,,,53990.0
2019-12-01,40900.0,33330.0,44500.0,,,49484.833333333336
2020-01-01,48140.0,26733.333333333332,39073.333333333336,,,
2020-02-01,47990.0,,44324.833333333336,,,
2020-03-01,44145.0,,37453.8,,,
2020-04-01,42110.0,,27890.0,,,
2020-05-01,46792.63636363636,,37539.166666666664,,,
2020-06-01,45250.0,,37170.0,,,
2020-07-01,,,33917.0,,,
