dates,105 cv,120 cv,170 cv,235 cv
2019-01-01,17990.0,16750.0,18445.0,24960.0
2019-06-01,20275.0,21890.0,17342.5,
2019-09-01,23490.0,24900.0,17740.0,
2019-10-01,19980.0,24390.0,17713.8,
2019-12-01,20594.875,15390.0,18476.09375,
2020-01-01,24233.333333333332,19456.333333333332,17659.976744186046,
2020-02-01,16426.666666666668,19700.0,,
2020-03-01,21870.0,19063.333333333332,,
2020-04-01,17490.0,26990.0,,
2020-05-01,15829.09090909091,19628.333333333332,,
2020-06-01,17858.833333333332,18629.473684210527,,
2020-07-01,16499.38888888889,16424.238095238095,,
