dates,150 cv,510 cv,280 cv,200 cv,210 cv,180 cv
2019-08-01,41489.5,115000.0,52840.0,39445.0,44990.0,29790.0
2019-09-01,46900.0,74400.0,44348.333333333336,51540.0,39900.0,33490.0
2019-10-01,43230.0,63900.0,37172.5,50999.0,35480.0,32954.0
2019-11-01,34950.0,,,40823.333333333336,39837.5,32133.076923076922
2020-01-01,45945.8,,,36896.666666666664,38569.166666666664,33651.11111111111
2020-02-01,38253.8,,,36346.71428571428,36433.294117647056,
2020-03-01,44129.666666666664,,,,40186.0,
2020-04-01,47990.0,,,,,
2020-05-01,41178.09090909091,,,,,
2020-06-01,38892.5,,,,,
2020-07-01,33418.357142857145,,,,,
