dates,82 cv,95 cv,125 cv,192 cv,90 cv,150 cv,116 cv,200 cv,122 cv
2018-10-01,20970.0,20990.0,17990.0,25900.0,18200.0,29900.0,24998.0,31490.0,15339.0
2019-04-01,21530.0,19500.0,17790.0,24950.0,19900.0,30290.0,34830.0,31202.846153846152,
2019-05-01,30500.0,18240.0,21760.0,25317.14285714286,17600.0,27410.0,27945.0,,
2019-06-01,17445.0,25900.0,18990.0,26539.75,,23839.375,26945.0,,
2019-08-01,21900.0,18490.0,18895.928571428572,,,23865.384615384617,25286.666666666668,,
2019-09-01,20847.5,18990.0,18727.575757575756,,,,23745.0,,
2019-10-01,24220.0,19590.0,17947.14285714286,,,,27770.777777777777,,
2019-11-01,22490.0,22198.333333333332,,,,,28945.0,,
2019-12-01,20774.0,25224.0,,,,,26452.85714285714,,
2020-01-01,26716.882352941175,16843.75,,,,,27564.444444444445,,
2020-02-01,24602.166666666668,18232.704225352114,,,,,25869.52380952381,,
2020-03-01,21891.0,17473.37254901961,,,,,27920.9375,,
2020-04-01,16041.25,,,,,,,,
2020-05-01,19857.222222222223,,,,,,,,
2020-06-01,20118.8,,,,,,,,
2020-07-01,19734.761904761905,,,,,,,,
