dates,115 cv,110 cv,150 cv,190 cv,204 cv,125 cv
2019-05-01,29973.333333333332,27900.0,29990.0,28900.0,58500.0,18990.0
2019-08-01,22990.0,24490.0,25235.0,30900.0,47596.666666666664,20995.0
2019-09-01,29990.0,24845.0,27145.0,32000.0,,
2019-10-01,24995.0,26746.0,28745.0,26971.666666666668,,
2019-11-01,23945.0,27293.333333333332,30130.0,24500.0,,
2019-12-01,26990.0,26245.0,30533.0,,,
2020-01-01,26930.0,29294.666666666668,30346.25,,,
2020-02-01,25971.666666666668,32306.875,29018.0,,,
2020-03-01,25900.0,26860.0,32546.25,,,
2020-04-01,23143.125,21990.0,29162.58064516129,,,
2020-05-01,22950.74074074074,29099.473684210527,30070.231884057972,,,
2020-06-01,21104.791666666668,29899.275862068964,32170.8,,,
2020-07-01,,27323.333333333332,,,,
