dates,68 cv,82 cv,120 cv,95 cv,75 cv,92 cv,99 cv
2019-04-01,10500.0,8630.0,8263.333333333334,8213.333333333334,9490.0,7900.0,9645.0
2019-09-01,8735.0,8432.857142857143,7656.666666666667,7074.833333333333,10490.0,7800.0,
2019-10-01,6990.0,8367.25,,,8590.0,7447.25,
2019-11-01,5395.0,,,,7490.0,7700.0,
2019-12-01,10690.0,,,,9286.0,,
2020-01-01,5540.0,,,,5500.0,,
2020-02-01,8258.0,,,,8200.0,,
2020-03-01,7918.75,,,,,,
2020-05-01,7112.355263157895,,,,,,
2020-06-01,7371.114285714286,,,,,,
2020-07-01,8380.0,,,,,,
