dates,68 cv,82 cv,110 cv,75 cv,99 cv
2019-07-01,12490.0,14990.0,16290.0,11490.0,13650.0
2019-09-01,14458.333333333334,13700.0,15490.0,13850.0,15900.0
2019-10-01,14181.818181818182,12900.0,14990.0,11490.0,14990.0
2019-11-01,14320.0,12500.0,16990.0,9990.0,13789.0
2019-12-01,15531.333333333334,13990.0,17090.14285714286,12095.555555555555,13749.666666666666
2020-01-01,14526.363636363636,14129.25,15616.666666666666,13250.0,14673.636363636364
2020-02-01,14675.307692307691,13875.714285714286,15840.0,,11990.0
2020-03-01,15093.166666666666,12463.333333333334,16054.57142857143,,
2020-04-01,13946.333333333334,13489.0,16900.0,,
2020-05-01,12712.208333333334,12528.393442622952,14705.90909090909,,
2020-06-01,13072.34693877551,12466.904761904761,15164.333333333334,,
2020-07-01,16536.619047619046,11799.538461538461,15293.151162790698,,
