dates,82 cv,110 cv,131 cv,99 cv,120 cv,92 cv
2018-06-01,22600.0,18370.0,19000.0,17900.0,23990.0,19300.0
2019-06-01,15990.0,17204.0,18620.0,14700.0,21950.0,
2019-07-01,17990.0,17990.0,20900.0,16490.0,18490.0,
2019-08-01,13990.0,19745.0,,18072.5,20362.75,
2019-09-01,17840.0,17225.533333333333,,17700.0,17508.0,
2019-10-01,18440.0,18395.0,,,,
2019-11-01,18757.777777777777,16066.0,,,,
2019-12-01,18122.30769230769,17192.941176470587,,,,
2020-01-01,18728.46153846154,17193.61111111111,,,,
2020-02-01,18435.333333333332,17456.853333333333,,,,
2020-03-01,17670.0,,,,,
2020-04-01,17560.0,,,,,
2020-05-01,16819.909090909092,,,,,
2020-06-01,17134.227272727272,,,,,
2020-07-01,17669.842105263157,,,,,
