dates,81 cv,120 cv,82 cv,110 cv,116 cv,115 cv,95 cv,90 cv,150 cv,114 cv,92 cv
2019-07-01,12596.0,11256.0,9915.8,13200.0,13980.0,11000.0,10500.0,8990.0,11585.714285714286,13990.0,9976.666666666666
2019-08-01,14101.0,9990.0,9626.25,9796.666666666666,9400.0,12597.0,10843.625,,,,10213.333333333334
2019-09-01,14890.0,11000.0,10001.333333333334,10279.833333333334,6500.0,13493.333333333334,10156.0,,,,
2019-10-01,13090.2,,,,,,,,,,
2019-11-01,13113.333333333334,,,,,,,,,,
2019-12-01,14168.461538461539,,,,,,,,,,
2020-01-01,13854.545454545454,,,,,,,,,,
2020-02-01,11099.09090909091,,,,,,,,,,
2020-03-01,11557.592592592593,,,,,,,,,,
2020-04-01,13388.0,,,,,,,,,,
2020-05-01,11923.333333333334,,,,,,,,,,
2020-06-01,12224.166666666666,,,,,,,,,,
2020-07-01,12752.857142857143,,,,,,,,,,
