dates,114 cv,92 cv,82 cv,116 cv,150 cv,120 cv,115 cv,110 cv,81 cv,95 cv,155 cv,90 cv
2019-06-01,8900.0,8999.0,11645.0,14800.0,15465.0,11990.0,8990.0,10990.0,11900.0,10290.0,7800.0,9174.444444444445
2019-09-01,8490.0,10917.142857142857,10865.0,9261.666666666666,11130.0,11085.0,8800.0,9990.0,12250.0,11890.0,10970.0,8690.0
2019-11-01,7990.0,8828.384615384615,10027.5,,,14200.0,10200.0,10990.0,9452.0,9490.0,,
2019-12-01,6990.0,9011.111111111111,10195.0,,,14490.0,8512.5,10200.0,9275.0,7830.0,,
2020-01-01,12132.222222222223,9045.0,,,,14856.666666666666,8935.263157894737,10416.666666666666,9682.8,10030.95,,
2020-02-01,10803.666666666666,,,,,12515.416666666666,9990.0,8212.25,9856.818181818182,10168.75,,
2020-03-01,10457.222222222223,,,,,12965.0,,,12365.0,,,
2020-04-01,,,,,,10166.666666666666,,,,,,
2020-05-01,,,,,,11489.285714285714,,,,,,
2020-06-01,,,,,,11149.170731707318,,,,,,
2020-07-01,,,,,,11633.529411764706,,,,,,
