dates,73 cv,90 cv,75 cv,97 cv
2019-06-01,13290.0,12750.0,12150.0,11190.0
2019-08-01,13551.0,13732.0,9990.0,13618.125
2019-09-01,13619.0,12200.0,10910.76923076923,13108.333333333334
2019-10-01,11814.0,12899.111111111111,10306.333333333334,
2019-12-01,11429.0,12100.0,,
2020-01-01,12603.142857142857,12991.777777777777,,
2020-02-01,11853.6,13103.272727272728,,
2020-03-01,12565.733333333334,12673.0,,
2020-04-01,12081.944444444445,13650.0,,
2020-05-01,12227.564814814816,12905.8,,
2020-06-01,12321.31914893617,12962.550724637682,,
2020-07-01,,13334.736842105263,,
