dates,105 cv,69 cv,85 cv,100 cv,95 cv
2019-04-01,12872.5,14900.0,10500.0,13990.0,11990.0
2019-06-01,15980.0,16990.0,13559.09090909091,16990.0,
2019-09-01,11990.0,11990.0,,12385.555555555555,
2019-10-01,14323.333333333334,15156.0,,12158.0,
2019-11-01,13143.805555555555,15990.0,,,
2019-12-01,13674.972972972973,13166.25,,,
2020-01-01,14308.893617021276,12195.0,,,
2020-02-01,,12213.952380952382,,,
2020-03-01,,12769.058823529413,,,
2020-04-01,,12693.333333333334,,,
2020-05-01,,13007.375,,,
2020-06-01,,12632.47619047619,,,
2020-07-01,,13528.363636363636,,,
