dates,69 cv,105 cv,100 cv,85 cv
2019-03-01,20900.0,25490.0,21990.0,10800.0
2019-04-01,18980.0,24490.0,16900.0,15314.615384615385
2019-05-01,23990.0,18470.0,14198.181818181818,19466.666666666668
2019-06-01,23990.0,18490.0,13651.42857142857,
2019-07-01,16445.555555555555,17532.0,14153.333333333334,
2019-08-01,25999.0,17168.75,,
2019-09-01,11953.333333333334,16990.0,,
2019-10-01,14615.57142857143,16810.9900990099,,
2019-11-01,14386.444444444445,16727.490384615383,,
2019-12-01,14782.148148148148,17858.335227272728,,
2020-01-01,12640.625,,,
2020-02-01,13880.97435897436,,,
2020-03-01,15275.75,,,
2020-04-01,14955.25,,,
2020-05-01,14460.130434782608,,,
2020-06-01,13347.926380368099,,,
2020-07-01,15808.375,,,
