dates,69 cv,105 cv,85 cv,75 cv,100 cv
2019-04-01,9980.0,17790.0,12471.111111111111,9000.0,13557.5
2019-06-01,10890.0,18375.454545454544,13274.413793103447,,12700.0
2019-08-01,14999.0,16742.06976744186,13606.272727272728,,
2019-10-01,10713.846153846154,18457.36842105263,,,
2019-11-01,10546.666666666666,,,,
2019-12-01,9582.777777777777,,,,
2020-01-01,10294.260869565218,,,,
2020-02-01,10880.447368421053,,,,
2020-03-01,10414.444444444445,,,,
2020-04-01,9072.608695652174,,,,
2020-05-01,9957.699300699302,,,,
2020-06-01,10565.85061728395,,,,
2020-07-01,12322.774509803921,,,,
