dates,115 cv,140 cv,125 cv,120 cv,95 cv,100 cv,150 cv,117 cv,182 cv,105 cv,85 cv,163 cv
2019-08-01,11990.0,14606.666666666666,13280.0,11990.0,9990.0,9232.5,8990.0,12095.454545454546,6990.0,11990.0,7550.0,10385.0
2019-09-01,11560.0,10870.0,12490.0,10689.0,14685.0,9294.75,18593.333333333332,11646.666666666666,13280.0,8000.0,9440.0,11195.0
2019-10-01,10695.0,9146.0,14515.0,16559.25925925926,8900.0,,10480.0,,,6945.0,12200.0,
2019-11-01,8995.0,10350.0,14325.0,16607.5,12344.545454545454,,,,,,13990.0,
2019-12-01,10264.761904761905,,10043.57142857143,12980.0,,,,,,,10783.333333333334,
2020-01-01,10523.193548387097,,12060.0,11740.0,,,,,,,12999.0,
2020-02-01,9553.9375,,,,,,,,,,11917.875,
2020-03-01,8845.714285714286,,,,,,,,,,11994.666666666666,
2020-04-01,,,,,,,,,,,9567.25,
2020-05-01,,,,,,,,,,,8712.857142857143,
2020-06-01,,,,,,,,,,,9384.615384615385,
2020-07-01,,,,,,,,,,,10320.0,
