dates,59 cv,80 cv,82 cv,100 cv,140 cv,125 cv,75 cv,182 cv,60 cv,64 cv,85 cv,105 cv,95 cv,68 cv,120 cv
2019-09-01,7800.0,9900.0,6250.0,9350.0,10750.0,9858.0,7740.0,13564.166666666666,7000.0,5200.0,9850.0,9000.0,8990.0,8950.0,16500.0
2019-10-01,9290.0,4500.0,7634.375,9011.666666666666,10848.75,,9990.0,,,,9317.5,8990.0,8790.0,,
2019-11-01,8990.0,8500.0,,9123.291666666666,,,7356.2,,,,,,9980.0,,
2019-12-01,10990.0,,,10097.5,,,7985.882352941177,,,,,,8752.0,,
2020-01-01,8758.0,,,,,,10400.0,,,,,,8887.857142857143,,
2020-02-01,8240.0,,,,,,,,,,,,,,
2020-04-01,10890.0,,,,,,,,,,,,,,
2020-05-01,8835.0,,,,,,,,,,,,,,
2020-06-01,9121.115384615385,,,,,,,,,,,,,,
2020-07-01,8500.0,,,,,,,,,,,,,,
