dates,140 cv,150 cv,182 cv,136 cv
2019-05-01,14680.0,16390.0,23784.615384615383,14680.0
2019-07-01,18990.0,15286.666666666666,19436.555555555555,13230.0
2019-08-01,16990.0,18900.0,20364.96551724138,
2019-09-01,14990.0,16490.0,,
2019-10-01,21275.0,17245.0,,
2019-11-01,19090.0,19590.0,,
2019-12-01,20459.666666666668,18756.333333333332,,
2020-01-01,17765.0,17974.203125,,
2020-02-01,16429.875,18858.67924528302,,
2020-03-01,19410.0,,,
2020-05-01,15445.129032258064,,,
2020-06-01,15309.109756097561,,,
2020-07-01,17302.105263157893,,,
