dates,150 cv,140 cv,182 cv,136 cv,120 cv,190 cv
2018-11-01,21200.0,18990.0,19400.0,15294.5,23740.0,40290.0
2019-06-01,18689.5,30500.0,23990.333333333332,,33400.0,42945.0
2019-07-01,25364.666666666668,21990.0,24378.571428571428,,28740.0,41481.75
2019-08-01,23044.3125,21990.0,25484.647058823528,,22824.833333333332,39106.75
2019-09-01,23493.666666666668,24295.0,,,,
2019-11-01,23659.675,19990.0,,,,
2019-12-01,,20190.0,,,,
2020-01-01,,20690.0,,,,
2020-02-01,,21402.5,,,,
2020-03-01,,20393.333333333332,,,,
2020-05-01,,20913.875,,,,
2020-06-01,,22780.0,,,,
2020-07-01,,20459.954545454544,,,,
