dates,142 cv,91 cv,205 cv,129 cv,120 cv
2018-11-01,18200.0,21750.0,39990.0,19990.0,23050.0
2019-08-01,17661.666666666668,27150.0,29450.0,18990.0,24990.0
2019-11-01,16500.0,25195.0,32593.333333333332,21945.0,23245.0
2019-12-01,,19917.25,33403.07692307692,18990.0,20900.0
2020-01-01,,21889.5,,20325.0,22590.0
2020-02-01,,20850.0,,19652.75,22160.0
2020-03-01,,21594.8,,19429.0,22250.5
2020-04-01,,19118.571428571428,,,22990.0
2020-05-01,,20824.0,,,19017.5
2020-06-01,,,,,20345.0
2020-07-01,,,,,19624.944444444445
