dates,75 cv,100 cv,84 cv,90 cv,120 cv
2019-08-01,16390.0,13990.0,13990.0,11390.0,12900.0
2019-11-01,12740.0,13990.0,10980.0,10900.0,13050.0
2019-12-01,10290.0,14890.0,12440.0,12800.0,
2020-01-01,11968.75,14490.0,10990.0,,
2020-02-01,11994.833333333334,13908.333333333334,11823.333333333334,,
2020-03-01,12918.57142857143,13697.826086956522,11774.166666666666,,
2020-04-01,13195.0,13035.569230769232,11029.09090909091,,
2020-05-01,11427.142857142857,,,,
2020-06-01,11454.135135135135,,,,
2020-07-01,10661.659574468085,,,,
