dates,120 cv,275 cv,95 cv,140 cv,100 cv,136 cv,110 cv
2019-07-01,19990.0,33900.0,26890.0,19490.0,13250.0,22990.0,19990.0
2019-08-01,17195.0,36500.0,18999.0,19990.0,,22990.0,15390.0
2019-09-01,13247.333333333334,32263.333333333332,18490.0,20479.0,,18490.0,20830.0
2019-10-01,21656.666666666668,,15490.0,19590.0,,17990.0,17326.363636363636
2019-11-01,20145.0,,22836.666666666668,26900.0,,22900.0,15961.666666666666
2019-12-01,15590.0,,16945.0,19908.333333333332,,22620.0,
2020-01-01,14370.0,,17964.75,21146.428571428572,,21670.0,
2020-02-01,17721.5,,19890.0,20583.333333333332,,,
2020-03-01,16385.682926829268,,14900.0,,,,
2020-04-01,,,21499.0,,,,
2020-05-01,,,19922.25,,,,
2020-06-01,,,19217.25,,,,
2020-07-01,,,16053.625,,,,
