dates,105 cv,120 cv
2017-08-01,32150.0,24500.0
2018-12-01,24900.0,22990.0
2019-04-01,23950.0,28500.0
2019-06-01,26490.0,27665.0
2019-07-01,24245.0,23617.5
2019-08-01,20749.0,21969.75
2019-09-01,25323.333333333332,25990.0
2019-10-01,24534.14285714286,21732.5
2019-11-01,25817.125,21545.285714285714
2019-12-01,23212.0,21291.166666666668
2020-01-01,24415.555555555555,
2020-02-01,27821.428571428572,
2020-03-01,23601.285714285714,
2020-05-01,23067.777777777777,
2020-06-01,23831.617647058825,
2020-07-01,23404.0,
