dates,110 cv,120 cv,140 cv,170 cv
2018-12-01,23999.0,28120.0,16999.0,26900.0
2019-02-01,23980.0,25930.0,20990.0,24000.0
2019-05-01,28240.0,16990.0,13990.0,25500.0
2019-08-01,26490.0,22195.0,20503.333333333332,
2019-10-01,18571.75,22990.0,22372.0,
2019-11-01,26795.0,23439.5,18846.296296296296,
2019-12-01,19593.8,23140.526315789473,19808.28125,
2020-01-01,20474.25,21404.0,,
2020-02-01,19412.285714285714,19808.41379310345,,
2020-03-01,18347.8,19277.415584415583,,
2020-05-01,21471.9,,,
2020-06-01,18541.666666666668,,,
2020-07-01,17673.928571428572,,,
