dates,67 cv,84 cv,100 cv,66 cv
2018-11-01,10990.0,14500.0,12990.0,8500.0
2019-08-01,8400.0,11590.0,13090.0,8690.0
2019-09-01,6863.5,13490.0,11233.333333333334,8899.57142857143
2019-10-01,8590.0,12489.5,12960.0,9459.777777777777
2019-11-01,9840.0,15490.0,,
2019-12-01,9828.0,11950.0,,
2020-01-01,10400.0,11572.5,,
2020-02-01,10416.333333333334,11606.111111111111,,
2020-03-01,10434.555555555555,,,
2020-04-01,10430.0,,,
2020-05-01,9982.966666666667,,,
2020-06-01,10341.42857142857,,,
2020-07-01,10055.127659574468,,,
