dates,99 cv,120 cv,84 cv,110 cv
2019-06-01,14490.0,18450.0,16900.0,18900.0
2019-07-01,17047.5,15990.0,16195.0,15787.5
2019-09-01,14990.0,18000.0,19019.75,17411.666666666668
2019-10-01,18809.090909090908,15990.0,16898.666666666668,
2019-11-01,17988.333333333332,16990.0,15906.0,
2020-02-01,17337.0,17442.25,18060.0,
2020-03-01,15968.588235294117,18390.0,16146.166666666666,
2020-04-01,,19204.285714285714,16458.764705882353,
2020-05-01,,18034.7,16450.81818181818,
2020-06-01,,18148.727272727272,,
2020-07-01,,16750.41379310345,,
