dates,339 cv,249 cv,340 cv,510 cv,550 cv
2018-03-01,43700.0,24815.0,52890.0,63800.0,69990.0
2018-11-01,66890.0,23900.0,52890.0,58846.25,72950.0
2018-12-01,64900.0,28900.0,50915.71428571428,53945.0,72945.0
2019-04-01,41490.0,25800.0,58692.5,,
2019-07-01,63990.0,53949.5,56844.0,,
2019-08-01,62835.71428571428,41944.5,53993.57142857143,,
2019-09-01,55615.0,31719.75,,,
2019-10-01,49026.5,41168.75,,,
2019-11-01,51559.290322580644,34794.833333333336,,,
2019-12-01,,37237.142857142855,,,
2020-01-01,,38406.555555555555,,,
2020-02-01,,37408.0,,,
2020-03-01,,30373.333333333332,,,
2020-04-01,,47992.22222222222,,,
2020-05-01,,30417.809523809523,,,
2020-06-01,,29587.06324110672,,,
2020-07-01,,26095.829333333335,,,
