dates,565 cv,339 cv,404 cv,525 cv,249 cv,340 cv
2017-11-01,187307.14285714287,88900.0,103930.0,157762.0,44900.0,75445.0
2018-12-01,186280.0,74990.0,109900.0,138386.66666666666,34900.0,
2019-06-01,112000.0,76800.0,87774.0,,97999.0,
2019-07-01,117900.0,82563.33333333333,88368.0,,43900.0,
2019-10-01,,88786.0,,,45447.5,
2019-11-01,,,,,52440.0,
2019-12-01,,,,,72699.75,
2020-01-01,,,,,100413.33333333333,
2020-02-01,,,,,63596.666666666664,
2020-03-01,,,,,44441.0,
2020-04-01,,,,,57293.333333333336,
2020-05-01,,,,,60275.34782608696,
2020-06-01,,,,,52987.49230769231,
2020-07-01,,,,,45781.55,
