dates,300 cv,240 cv,550 cv,180 cv,380 cv,250 cv
2019-06-01,75990.0,78564.0,156230.0,78500.0,69745.0,61931.0
2019-07-01,80917.85714285714,78532.22222222222,110000.0,65990.0,,
2019-08-01,78719.09090909091,63795.0,124990.0,65890.0,,
2019-10-01,73555.90909090909,61072.5,,68900.0,,
2019-11-01,67397.14285714286,,,75900.0,,
2019-12-01,,,,64400.0,,
2020-01-01,,,,85566.66666666667,,
2020-02-01,,,,74963.0,,
2020-03-01,,,,79931.66666666667,,
2020-04-01,,,,69723.33333333333,,
2020-05-01,,,,62572.5,,
2020-06-01,,,,63979.0,,
2020-07-01,,,,57910.0,,
