dates,110 cv,115 cv,117 cv,94 cv,114 cv,190 cv,218 cv,214 cv
2019-10-01,10990.0,12220.0,10990.0,13499.0,13000.0,13990.0,12500.0,12900.0
2019-11-01,9990.0,15416.0,10990.0,12415.8,,10935.0,14990.0,17500.0
2019-12-01,13490.0,12535.0,9900.0,13140.0,,11695.714285714286,14700.0,
2020-01-01,14506.081081081082,12485.833333333334,9610.0,12848.333333333334,,13045.0,,
2020-02-01,12253.87037037037,11972.222222222223,10863.90243902439,12914.875,,,,
2020-03-01,12601.29,,12006.1,14044.5,,,,
2020-04-01,14226.666666666666,,,12390.0,,,,
2020-05-01,,,,11340.5,,,,
2020-06-01,,,,11377.633333333333,,,,
2020-07-01,,,,11523.25,,,,
