dates,190 cv,218 cv,115 cv,110 cv,117 cv,94 cv,214 cv
2018-09-01,18157.272727272728,17000.0,16990.0,15490.0,14945.0,12990.0,14900.0
2019-05-01,16780.0,22210.0,13245.0,12990.0,13621.0,16890.0,16730.0
2019-07-01,16424.0,16490.0,15960.0,15240.0,16045.315789473685,10900.0,
2019-10-01,16945.0,18250.0,14124.666666666666,15494.5,,15490.0,
2019-11-01,,,13907.692307692309,12450.0,,14875.0,
2019-12-01,,,14009.166666666666,17814.117647058825,,17990.0,
2020-01-01,,,,14782.35294117647,,14707.5,
2020-02-01,,,,15022.439024390244,,13752.0,
2020-03-01,,,,16760.0,,14641.8,
2020-05-01,,,,,,13080.76923076923,
2020-06-01,,,,,,13727.396551724138,
2020-07-01,,,,,,15515.933333333332,
