dates,130 cv,110 cv,150 cv,106 cv,117 cv,141 cv,115 cv
2019-08-01,12695.0,11190.0,12990.0,11745.0,10480.0,13400.0,14190.0
2019-10-01,10490.0,8900.0,12000.0,10590.0,10990.0,11245.0,
2019-12-01,12040.0,13880.0,10574.545454545454,12189.5,8945.0,11320.0,
2020-01-01,11629.0,12593.333333333334,10233.529411764706,10163.0,9277.272727272728,,
2020-02-01,11726.987654320988,10690.0,10438.0,9628.09090909091,10477.6,,
2020-03-01,13123.136363636364,9979.977272727272,,11819.083333333334,,,
2020-04-01,,9818.657894736842,,10190.0,,,
2020-05-01,,10476.666666666666,,10704.70588235294,,,
2020-06-01,,,,11045.626865671642,,,
2020-07-01,,,,7500.0,,,
