dates,140 cv,136 cv,110 cv,87 cv,100 cv,120 cv,180 cv,150 cv,105 cv,200 cv,165 cv
2018-12-01,18900.0,20822.5,17740.0,11990.0,16750.0,9990.0,12500.0,17590.0,12200.0,19000.0,11990.0
2019-04-01,21781.666666666668,22020.0,,23999.0,11350.0,27180.0,,19750.0,13900.0,,11990.0
2019-07-01,21650.0,,,16900.0,19500.0,29220.0,,17600.0,13900.0,,
2019-09-01,,,,21999.0,,24800.0,,18490.0,,,
2019-10-01,,,,15990.0,,30848.0,,18486.666666666668,,,
2019-11-01,,,,21240.0,,29225.0,,17253.333333333332,,,
2019-12-01,,,,17608.166666666668,,29710.0,,,,,
2020-01-01,,,,19864.0,,,,,,,
2020-02-01,,,,17663.88888888889,,,,,,,
2020-03-01,,,,17772.14285714286,,,,,,,
2020-04-01,,,,14900.0,,,,,,,
2020-05-01,,,,18370.0625,,,,,,,
2020-06-01,,,,15023.85,,,,,,,
2020-07-01,,,,21015.8,,,,,,,
