dates,65 cv,85 cv,75 cv,70 cv,95 cv,192 cv,101 cv,150 cv,87 cv,100 cv,90 cv,130 cv
2018-06-01,9480.0,8195.0,9990.0,9500.0,7500.0,13650.0,13620.0,14500.0,7980.0,21035.0,14490.0,21490.0
2019-04-01,10900.0,7496.333333333333,10015.5,8990.0,,,8990.0,,,20915.0,11506.666666666666,22440.0
2019-07-01,11140.0,,10257.0,8270.0,,,,,,19900.0,11490.0,28235.0
2019-09-01,11260.0,,7300.0,,,,,,,21290.0,,23290.0
2019-10-01,10814.0,,,,,,,,,19507.5,,24850.0
2019-11-01,11590.0,,,,,,,,,20367.5,,25992.5
2019-12-01,10933.8,,,,,,,,,19968.88888888889,,
2020-01-01,13504.1,,,,,,,,,,,
2020-02-01,13163.275862068966,,,,,,,,,,,
2020-03-01,14708.692307692309,,,,,,,,,,,
2020-04-01,8990.0,,,,,,,,,,,
2020-05-01,9953.111111111111,,,,,,,,,,,
2020-06-01,10402.67816091954,,,,,,,,,,,
2020-07-01,20036.333333333332,,,,,,,,,,,
