dates,110 cv,99 cv,120 cv,81 cv,130 cv
2019-05-01,19100.0,17490.0,18870.0,16990.0,17900.0
2019-06-01,18334.0,24713.529411764706,21990.0,17990.0,15847.142857142857
2019-07-01,17648.0,23634.285714285714,15825.0,16990.0,26450.0
2019-08-01,18424.833333333332,15625.0,19825.666666666668,21990.0,19611.81818181818
2019-09-01,18045.0,16496.0,19340.833333333332,17490.0,20277.14285714286
2019-10-01,18262.0,,,17946.666666666668,19399.85714285714
2019-11-01,19130.0,,,18775.0,26796.666666666668
2019-12-01,20422.5,,,17646.375,
2020-01-01,19238.35087719298,,,18041.1875,
2020-02-01,18077.670588235294,,,18731.764705882353,
2020-03-01,18594.345454545455,,,18611.071428571428,
2020-04-01,,,,16215.0,
2020-05-01,,,,16498.947368421053,
2020-06-01,,,,17216.976744186046,
2020-07-01,,,,19822.071428571428,
