dates,130 cv,120 cv
2019-01-01,25490.0,22490.0
2019-02-01,29300.0,22990.0
2019-05-01,23625.0,19445.0
2019-06-01,27267.5,20790.0
2019-07-01,22580.0,22985.0
2019-08-01,29626.666666666668,24450.0
2019-09-01,25090.8,33499.0
2019-10-01,30645.714285714286,24342.5
2019-11-01,29980.3488372093,24499.8
2019-12-01,28415.885714285716,28218.571428571428
2020-01-01,24697.271186440677,26832.0
2020-02-01,27379.766666666666,27500.11111111111
2020-03-01,,25155.444444444445
2020-04-01,,25944.444444444445
2020-05-01,,25483.931034482757
2020-06-01,,23913.5
2020-07-01,,25682.363636363636
