dates,136 cv,110 cv,140 cv,152 cv
2018-08-01,15990.0,17590.0,14900.0,18798.0
2019-02-01,14990.0,13990.0,14990.0,18500.0
2019-09-01,14320.0,14935.0,13980.0,
2019-10-01,16490.0,14605.0,14390.0,
2019-12-01,14990.0,12490.0,13223.333333333334,
2020-01-01,16471.690140845072,12840.0,15747.777777777777,
2020-02-01,15794.620689655172,13789.6,13907.2,
2020-03-01,15799.896907216495,13715.0,15414.0,
2020-04-01,14798.138888888889,15833.2,,
2020-05-01,,13726.583333333334,,
2020-06-01,,14725.666666666666,,
2020-07-01,,14370.0,,
