dates,82 cv,120 cv,92 cv,115 cv,68 cv,110 cv
2019-07-01,12980.0,18490.0,13120.0,15490.0,13900.0,15426.666666666666
2019-08-01,12820.0,19522.5,14551.666666666666,11890.0,18900.0,16690.0
2019-10-01,13110.6875,16136.25,15284.285714285714,18873.75,13894.0,14408.583333333334
2019-11-01,13561.111111111111,15140.0,14035.0,16380.0,14290.0,15533.333333333334
2019-12-01,13120.0,15005.0,,14472.222222222223,14494.5,15615.083333333334
2020-01-01,,,,14298.0,16490.0,
2020-02-01,,,,,15029.666666666666,
2020-03-01,,,,,15054.0,
2020-04-01,,,,,13518.0,
2020-05-01,,,,,14414.583333333334,
2020-06-01,,,,,14715.225,
2020-07-01,,,,,15061.5,
