dates,68 cv,82 cv,120 cv,92 cv,200 cv,110 cv,75 cv,100 cv,115 cv
2019-03-01,9990.0,8467.933333333332,9384.444444444445,8408.291666666666,13000.0,11752.0,8980.0,9450.0,8966.666666666666
2019-08-01,6990.0,7969.0,9262.6,10463.333333333334,13900.0,12213.333333333334,10450.0,9581.70588235294,
2019-10-01,10990.0,7945.0,,,,12070.0,9490.0,,
2019-11-01,9690.0,,,,,,10990.0,,
2020-01-01,10235.0,,,,,,8475.266666666666,,
2020-02-01,12990.0,,,,,,,,
2020-03-01,9915.0,,,,,,,,
2020-04-01,8475.0,,,,,,,,
2020-05-01,7890.695652173913,,,,,,,,
2020-06-01,8073.6875,,,,,,,,
2020-07-01,11500.0,,,,,,,,
