dates,68 cv,82 cv,110 cv,100 cv,165 cv,120 cv,75 cv
2019-06-01,15900.0,14213.333333333334,15690.0,16590.0,19460.0,23990.0,11607.142857142857
2019-07-01,15990.0,12900.0,18361.333333333332,15470.0,20750.0,16490.0,
2019-08-01,15260.0,10990.0,16163.333333333334,12490.0,,24717.5,
2019-09-01,12395.0,13335.0,14485.0,18370.0,,24495.0,
2019-10-01,15490.0,13740.0,14914.5,21990.0,,,
2019-11-01,14090.0,12990.0,15101.09375,11140.0,,,
2019-12-01,14436.0,12478.75,15526.181818181818,15749.9375,,,
2020-01-01,14246.0,11790.0,15852.379310344828,21573.8,,,
2020-02-01,14448.666666666666,13505.714285714286,,23990.0,,,
2020-03-01,15301.875,13990.0,,,,,
2020-04-01,11990.0,12790.0,,,,,
2020-05-01,13279.545454545454,12191.576923076924,,,,,
2020-06-01,13694.88524590164,12521.36170212766,,,,,
2020-07-01,17239.0,,,,,,
