dates,120 cv,115 cv,150 cv,156 cv
2019-09-01,10490.0,14490.0,13470.0,13490.0
2019-11-01,13490.0,13563.333333333334,15214.545454545454,12487.857142857143
2019-12-01,17649.090909090908,15990.0,15258.333333333334,13843.754716981131
2020-01-01,13913.958333333334,18095.0,15200.0,12286.489795918367
2020-02-01,13233.31111111111,13521.285714285714,,
2020-03-01,15119.285714285714,15356.0,,
2020-04-01,,13436.42857142857,,
2020-05-01,,12436.962264150943,,
2020-06-01,,13093.776119402984,,
2020-07-01,,13523.708333333334,,
