dates,200 cv,112 cv,98 cv,120 cv,92 cv,135 cv,82 cv,156 cv,90 cv,115 cv,110 cv,150 cv,163 cv
2019-10-01,15497.5,7222.142857142857,11490.0,11549.285714285714,8890.0,15007.5,10490.0,7990.0,6990.0,10690.0,6790.0,12490.0,12997.5
2019-11-01,16350.0,6268.571428571428,11563.333333333334,11456.666666666666,8059.576923076923,13786.666666666666,9900.0,,6300.0,9803.846153846154,6749.5,11585.0,15850.90909090909
2019-12-01,,,11000.0,,8950.0,13695.0,11140.0,,6999.0,,,13921.25,
2020-01-01,,,,,,,12490.0,,,,,,
2020-02-01,,,,,,,11663.333333333334,,,,,,
2020-03-01,,,,,,,14880.0,,,,,,
2020-04-01,,,,,,,12156.666666666666,,,,,,
2020-05-01,,,,,,,11046.5,,,,,,
2020-06-01,,,,,,,13444.944444444445,,,,,,
2020-07-01,,,,,,,11390.0,,,,,,
