dates,99 cv,130 cv,110 cv,272 cv,205 cv,82 cv,120 cv,150 cv,177 cv
2018-05-01,32900.0,20890.0,17435.0,28990.0,23500.0,19990.0,22590.0,19496.666666666668,23790.0
2019-04-01,20990.0,20387.5,17990.0,25375.666666666668,23439.88888888889,20626.666666666668,19923.333333333332,21620.0,22499.0
2019-06-01,21990.0,27690.0,17960.0,,25896.5,18500.0,17990.0,,26190.0
2019-07-01,20760.0,22690.0,18990.0,,,16000.0,17900.0,,22147.5
2019-08-01,18205.0,23987.8,18230.0,,,18436.363636363636,17693.333333333332,,24068.571428571428
2019-09-01,22410.0,22290.0,18490.0,,,18390.0,18585.454545454544,,
2019-10-01,21404.777777777777,22361.428571428572,16430.75,,,,,,
2019-11-01,21171.0,20906.0,17137.5,,,,,,
2019-12-01,20384.285714285714,21684.70588235294,,,,,,,
2020-01-01,24604.8,21318.333333333332,,,,,,,
2020-02-01,22111.272727272728,22985.8,,,,,,,
2020-03-01,21739.666666666668,20645.384615384617,,,,,,,
2020-04-01,24213.125,19789.591549295776,,,,,,,
2020-05-01,20562.81818181818,20161.82222222222,,,,,,,
2020-06-01,21017.392156862745,,,,,,,,
2020-07-01,21957.25,,,,,,,,
