dates,99 cv,130 cv,110 cv,272 cv,120 cv,205 cv,82 cv,177 cv
2019-03-01,17490.0,23500.0,18428.428571428572,32990.0,22500.0,27490.0,20490.0,28990.0
2019-08-01,19900.0,21940.0,,29890.0,,27490.0,18290.0,
2019-10-01,18990.0,20840.0,,28470.0,,25500.0,,
2019-11-01,23895.0,23700.0,,,,,,
2019-12-01,23868.777777777777,22990.0,,,,,,
2020-01-01,23390.0,24685.75,,,,,,
2020-02-01,22835.714285714286,22640.0,,,,,,
2020-03-01,25415.666666666668,24950.0,,,,,,
2020-04-01,27292.8,22917.5,,,,,,
2020-05-01,23139.071428571428,23131.13157894737,,,,,,
2020-06-01,22965.434782608696,23364.21052631579,,,,,,
2020-07-01,22782.0,,,,,,,
