dates,100 cv,130 cv,165 cv,120 cv,150 cv
2019-07-01,28990.0,33990.0,39516.0,26290.0,19850.0
2019-09-01,31990.0,30990.0,32695.0,28594.0,19340.0
2019-10-01,29970.0,33595.0,36735.0,29310.60606060606,
2019-11-01,30690.0,30940.0,38786.666666666664,26900.0,
2019-12-01,29219.85714285714,33201.35211267605,31688.333333333332,,
2020-01-01,29631.666666666668,33177.638655462186,33182.72727272727,,
2020-02-01,31448.928571428572,32411.0,,,
2020-03-01,28404.666666666668,32424.897959183672,,,
2020-04-01,32757.647058823528,,,,
2020-05-01,32428.833333333332,,,,
2020-06-01,32964.2972972973,,,,
