dates,112 cv,204 cv,140 cv,150 cv,156 cv,163 cv,120 cv,165 cv
2018-04-01,14900.0,12250.0,7696.666666666667,9499.0,10445.0,11990.0,10000.0,12990.0
2019-08-01,11490.0,12960.555555555555,10532.5,9000.0,8899.5,9899.0,12833.333333333334,
2019-09-01,14500.0,11358.0,,,,10760.0,,
2019-10-01,12623.333333333334,,,,,11266.76923076923,,
2019-11-01,13700.0,,,,,11500.0,,
2019-12-01,11490.0,,,,,,,
2020-01-01,8990.0,,,,,,,
2020-02-01,10393.333333333334,,,,,,,
2020-03-01,11290.0,,,,,,,
2020-04-01,9670.0,,,,,,,
2020-05-01,8260.0,,,,,,,
2020-06-01,11511.5,,,,,,,
2020-07-01,10593.333333333334,,,,,,,
