dates,120 cv,130 cv,180 cv,160 cv,178 cv,165 cv
2018-10-01,38990.0,28890.0,35900.0,29319.0,34980.0,30960.0
2019-05-01,38990.0,29445.0,36910.25,30450.0,34885.0,31946.666666666668
2019-07-01,36140.0,28490.0,34272.0,,37490.0,31796.666666666668
2019-08-01,36300.0,28990.0,32437.14285714286,,39395.0,31270.0
2019-09-01,37970.0,29986.0,,,32650.0,
2019-10-01,36592.5,30554.916666666668,,,36900.0,
2019-11-01,37353.75,,,,34990.0,
2019-12-01,36437.375,,,,35455.0,
2020-01-01,34658.71428571428,,,,33990.0,
2020-02-01,39375.692307692305,,,,35010.0,
2020-03-01,36773.85,,,,32990.0,
2020-04-01,36951.11111111111,,,,33861.5,
2020-05-01,31523.88888888889,,,,36958.333333333336,
2020-06-01,32732.122807017542,,,,,
2020-07-01,31442.25,,,,,
