dates,355 cv,415 cv,325 cv,480 cv,420 cv
2019-03-01,49900.0,74976.66666666667,119900.0,69900.0,64990.0
2019-06-01,56596.666666666664,73490.90909090909,67990.0,68997.0,49990.0
2019-11-01,51490.0,81833.33333333333,48500.0,80220.76923076923,52330.0
2019-12-01,54900.0,,77900.0,72893.26666666666,
2020-01-01,54833.333333333336,,76174.25,73812.38095238095,
2020-02-01,60060.0,,41900.0,,
2020-03-01,53711.95744680851,,119900.0,,
2020-04-01,51827.433628318584,,48900.0,,
2020-05-01,51578.03191489362,,49064.13333333333,,
2020-06-01,,,45429.4693877551,,
2020-07-01,,,45785.47619047619,,
