dates,333 cv,440 cv,570 cv,420 cv,245 cv,385 cv,340 cv,520 cv
2019-01-01,92264.54545454546,105000.0,90400.0,89636.66666666667,75900.0,71226.66666666667,87245.0,75800.0
2019-07-01,98270.0,81900.0,80240.0,63990.0,79800.0,64900.0,74718.0,62980.0
2019-11-01,53700.0,87470.0,,74867.25,104395.0,,,
2019-12-01,,94695.0,,67430.0,104450.0,,,
2020-01-01,,88146.92307692308,,,87825.0,,,
2020-02-01,,76858.0,,,81118.0,,,
2020-03-01,,,,,82900.0,,,
2020-04-01,,,,,78040.0,,,
2020-05-01,,,,,68638.0,,,
2020-06-01,,,,,81181.66666666667,,,
2020-07-01,,,,,73011.42857142857,,,
