dates,360 cv,252 cv,400 cv,340 cv,440 cv,245 cv
2018-03-01,72988.66666666667,49945.0,59900.0,55990.0,99880.0,48990.0
2019-08-01,72827.77777777778,56990.0,55990.0,59990.0,96149.16666666667,44890.0
2019-10-01,70786.25,44141.0,66182.27272727272,60218.181818181816,93796.92307692308,54000.0
2019-12-01,58854.0,47125.0,68150.0,53464.117647058825,88547.5,51126.666666666664
2020-01-01,,43490.0,60451.48148148148,,,39100.0
2020-02-01,,56833.58974358974,53892.148148148146,,,51408.333333333336
2020-03-01,,53147.234042553195,,,,52626.666666666664
2020-05-01,,46404.2,,,,44610.0
2020-06-01,,45858.237113402065,,,,51529.375
2020-07-01,,,,,,51398.125
