dates,90 cv,120 cv,143 cv,110 cv,114 cv
2019-01-01,14990.0,11990.0,21070.866666666665,17823.731343283584,30492.85714285714
2019-07-01,12290.0,15350.0,21486.0,18283.846153846152,31745.0
2019-08-01,13200.0,17343.272058823528,20784.444444444445,18506.666666666668,13000.0
2019-10-01,10990.0,17188.796875,21888.846153846152,16353.333333333334,
2019-12-01,13490.0,16155.185185185184,,12900.0,
2020-01-01,13193.333333333334,15959.718309859154,,,
2020-02-01,12440.0,14511.615384615385,,,
2020-03-01,16669.97150997151,,,,
2020-04-01,16404.47663551402,,,,
2020-05-01,15126.768292682927,,,,
2020-06-01,15806.193548387097,,,,
2020-07-01,14539.5,,,,
