dates,110 cv,115 cv,130 cv,90 cv,106 cv,140 cv
2019-06-01,19218.0,20919.574468085106,20764.146341463416,17800.0,20490.0,21100.0
2019-09-01,20005.0,19108.88888888889,21556.666666666668,23840.0,,
2019-11-01,18755.29411764706,22081.666666666668,16908.46153846154,30576.666666666668,,
2019-12-01,19518.18181818182,21552.5,16814.166666666668,19851.0,,
2020-01-01,18047.69230769231,,16600.0,18701.0,,
2020-02-01,,,,18851.0,,
2020-03-01,,,,19122.5,,
2020-04-01,,,,17966.5,,
2020-05-01,,,,18425.28125,,
2020-06-01,,,,19665.958333333332,,
2020-07-01,,,,19438.0,,
