dates,69 cv,90 cv,71 cv,110 cv
2019-05-01,14250.0,11490.0,11900.0,11990.0
2019-07-01,12490.0,10490.0,7990.0,10990.0
2019-09-01,11490.0,11740.0,8596.0,10890.0
2019-10-01,9990.0,11540.0,7590.0,9900.0
2019-11-01,10460.0,15990.0,,13370.0
2019-12-01,9954.0,10970.0,,
2020-01-01,9258.333333333334,12445.0,,
2020-02-01,10667.777777777777,9540.0,,
2020-03-01,10274.285714285714,10490.0,,
2020-04-01,9450.0,10014.619047619048,,
2020-05-01,9381.142857142857,10932.068965517241,,
2020-06-01,10415.365384615385,11095.714285714286,,
2020-07-01,12865.57142857143,,,
