dates,60 cv,95 cv,90 cv,75 cv,110 cv
2019-06-01,10590.0,12990.0,12490.0,9990.0,13490.0
2019-08-01,8980.0,11290.0,10590.0,10240.0,11985.0
2019-09-01,13150.0,12400.0,10114.0,10095.0,13431.818181818182
2019-10-01,10990.0,11969.875,10751.42857142857,11994.5,13033.681818181818
2019-11-01,15970.0,11256.75,11356.128205128205,10071.666666666666,
2019-12-01,10397.25,,,10086.0,
2020-01-01,10060.0,,,,
2020-02-01,9490.0,,,,
2020-03-01,10092.5,,,,
2020-05-01,10463.76923076923,,,,
2020-06-01,10148.148148148148,,,,
2020-07-01,9723.081632653062,,,,
