dates,220 cv,86 cv,110 cv,180 cv,105 cv,150 cv,140 cv,184 cv
2019-07-01,15500.0,10490.0,9990.0,14990.0,11490.0,12990.0,11044.75,14990.0
2019-08-01,16900.0,10700.0,10985.0,,10500.0,13990.0,,18982.222222222223
2019-11-01,17850.0,17950.0,11500.0,,12590.0,9990.0,,18494.285714285714
2019-12-01,,11995.0,13485.0,,12990.0,12990.0,,
2020-01-01,,14628.75,11544.5,,11147.142857142857,10273.0,,
2020-02-01,,14960.0,11906.4,,10228.57142857143,12423.6,,
2020-03-01,,19230.0,13432.5,,,12992.7,,
2020-04-01,,15980.0,,,,,,
2020-05-01,,12435.0,,,,,,
2020-06-01,,13146.95,,,,,,
2020-07-01,,12594.285714285714,,,,,,
