dates,71 cv,90 cv,109 cv
2017-12-01,9900.0,14990.0,13990.0
2018-09-01,9900.0,13500.0,19990.0
2019-04-01,17990.0,13990.0,15861.5
2019-06-01,10240.0,15945.0,
2019-08-01,15545.8,13011.0,
2019-09-01,12400.0,12852.0,
2019-10-01,12440.0,15263.333333333334,
2019-11-01,12571.111111111111,13990.0,
2019-12-01,12037.5,13960.0,
2020-01-01,14182.545454545454,12330.0,
2020-02-01,11042.666666666666,12871.1875,
2020-03-01,10669.23076923077,13633.38,
2020-04-01,11797.5,,
2020-05-01,10841.111111111111,,
2020-06-01,10847.72,,
2020-07-01,10634.063157894738,,
