dates,54 cv,61 cv,71 cv,81 cv,90 cv,109 cv,84 cv,102 cv
2019-07-01,6990.0,14900.0,12695.0,14990.0,18500.0,19500.0,7900.0,8250.0
2019-08-01,8240.0,12899.5,12740.0,14695.0,19490.0,18258.0,,
2019-10-01,8863.333333333334,14842.5,9120.0,14973.333333333334,12325.0,19302.714285714286,,
2019-11-01,,11240.0,11900.0,15553.28,17900.0,,,
2019-12-01,,13490.0,8490.0,,16183.333333333334,,,
2020-01-01,,10990.0,9815.0,,13572.5,,,
2020-02-01,,15956.4,10477.037037037036,,13258.648648648648,,,
2020-03-01,,14990.0,10077.548387096775,,,,,
2020-04-01,,16400.0,,,,,,
2020-05-01,,13878.0,,,,,,
2020-06-01,,11558.130434782608,,,,,,
2020-07-01,,10982.083333333334,,,,,,
